Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
06 Cantabria,Ambos sexos,2010,"18.071,76","0,39"
06 Cantabria,Ambos sexos,2009,"18.002,19","2,14"
06 Cantabria,Ambos sexos,2008,"17.624,84",
06 Cantabria,Mujeres,2022,"18.557,96","2,89"
06 Cantabria,Mujeres,2021,"18.036,06","4,33"
06 Cantabria,Mujeres,2020,"17.287,20","0,05"
06 Cantabria,Mujeres,2019,"17.278,21","6,9"
06 Cantabria,Mujeres,2018,"16.163,33","1,03"
06 Cantabria,Mujeres,2017,"15.998,06","3,79"
06 Cantabria,Mujeres,2016,"15.414,19","-0,27"
06 Cantabria,Mujeres,2015,"15.456,00","2,63"
06 Cantabria,Mujeres,2014,"15.060,50","3,33"
06 Cantabria,Mujeres,2013,"14.575,17","0,87"
06 Cantabria,Mujeres,2012,"14.449,44","-3,11"
06 Cantabria,Mujeres,2011,"14.912,60","0,67"
06 Cantabria,Mujeres,2010,"14.813,15","2,76"
06 Cantabria,Mujeres,2009,"14.415,90","-4,08"
06 Cantabria,Mujeres,2008,"15.029,34",
06 Cantabria,Hombres,2022,"23.748,57","3,26"
06 Cantabria,Hombres,2021,"22.998,26","5,95"
06 Cantabria,Hombres,2020,"21.706,80","0,45"
06 Cantabria,Hombres,2019,"21.609,68","0,77"
06 Cantabria,Hombres,2018,"21.445,24","0,58"
06 Cantabria,Hombres,2017,"21.322,62","3,04"
06 Cantabria,Hombres,2016,"20.692,84","-3,61"
06 Cantabria,Hombres,2015,"21.468,08","2,15"
06 Cantabria,Hombres,2014,"21.015,31","5,07"
06 Cantabria,Hombres,2013,"20.001,84","1,61"
06 Cantabria,Hombres,2012,"19.685,54","-3,12"
06 Cantabria,Hombres,2011,"20.318,96","-0,84"
06 Cantabria,Hombres,2010,"20.491,20","1,77"
06 Cantabria,Hombres,2009,"20.134,47","3,78"
06 Cantabria,Hombres,2008,"19.401,56",
07 Castilla y León,Ambos sexos,2022,"20.677,50","1,64"
07 Castilla y León,Ambos sexos,2021,"20.343,86","3,2"
07 Castilla y León,Ambos sexos,2020,"19.713,12","2,93"
07 Castilla y León,Ambos sexos,2019,"19.152,61","0,5"
07 Castilla y León,Ambos sexos,2018,"19.057,88","2,06"
