ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Castilla-La Mancha;2018;real;9,30;0,90;10,20;73,60;2018;5,04;2018;1093,80;9,10;0,33
Castilla-La Mancha;2019;real;6,20;1,90;7,40;72,90;2019;5,31;2019;1173,80;6,20;0,34
Castilla-La Mancha;2020;real;6,50;1,60;6,90;75,50;2020;5,55;2020;1175,80;8,40;0,35
Castilla-La Mancha;2021;proyeccion;NA;NA;NA;75,62;NA;NA;NA;NA;NA;NA
Castilla-La Mancha;2021;real;8,50;2,10;7,80;NA;2021;5,84;2021;1126,40;14,20;0,36
Castilla-La Mancha;2022;proyeccion;NA;NA;NA;75,70;NA;NA;NA;NA;NA;NA
Castilla-La Mancha;2022;real;10,80;4,10;5,90;NA;2022;6,12;2022;1166,20;14,50;0,36
Castilla-La Mancha;2023;proyeccion;NA;NA;NA;75,64;NA;NA;NA;NA;NA;NA
Castilla-La Mancha;2023;real;9,30;4,30;6,70;NA;2023;6,48;2023;1262,20;13,10;0,37
Castilla-La Mancha;2024;proyeccion;8,53;5,01;6,83;75,75;NA;NA;NA;NA;13,69;0,39
Castilla-La Mancha;2024;real;NA;NA;NA;NA;2024;7,07;2024;1348,60;NA;NA
Castilla-La Mancha;2025;proyeccion;8,51;5,35;6,83;75,70;NA;NA;NA;NA;13,36;0,42
Castilla-La Mancha;2025;real;NA;NA;NA;NA;2025;7,89;2025-07;1468,80;NA;NA
Castilla-La Mancha;2026;proyeccion;8,74;5,30;6,75;75,70;NA;NA;NA;NA;13,53;0,44
Castilla-La Mancha;2026;real;NA;NA;NA;NA;2026-03;8,62;NA;NA;NA;NA
Cataluña;2004;real;10,60;10,50;NA;NA;NA;NA;NA;NA;8,60;NA
Cataluña;2005;real;11,50;6,80;NA;NA;NA;NA;NA;NA;8,10;NA
