ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Aragón;02;2021;hombres;real;17,56;162,26;28,69;5,53;11,76;9,16;0,88;19,42;8,34;647016
Aragón;02;2021;mujeres;real;19,79;97,18;5,64;0,92;8,79;1,86;0,36;2,18;7,01;665777
Aragón;02;2022;hombres;real;17,41;157,00;31,53;5,34;11,05;10,24;0,89;19,84;9,18;659544
Aragón;02;2022;mujeres;real;19,33;87,03;9,61;2,00;5,63;3,05;0,38;2,83;9,39;674934
Aragón;02;2023;hombres;real;19,16;152,74;31,58;4,54;13,12;11,43;0,91;20,24;8,06;668838
Aragón;02;2023;mujeres;real;22,05;88,03;7,48;1,80;7,23;3,84;0,39;3,29;7,33;685306
Aragón;02;2024;hombres;proyeccion;18,37;146,84;28,83;5,33;12,52;10,37;0,87;19,25;6,07;667988
Aragón;02;2024;mujeres;proyeccion;20,80;80,38;7,93;1,89;7,38;5,45;0,41;3,93;8,48;680624
Aragón;02;2025;hombres;proyeccion;18,37;NA;NA;NA;NA;NA;0,85;18,54;7,05;682688
Aragón;02;2025;mujeres;proyeccion;20,80;NA;NA;NA;NA;NA;0,38;2,94;8,09;691614
Canarias;05;1990;hombres;real;NA;16,81;121,43;22,07;44,54;27,81;2,18;62,29;NA;740310
Canarias;05;1990;mujeres;real;NA;1,00;37,57;27,07;31,01;6,45;1,31;33,72;NA;749737
Canarias;05;1991;hombres;real;NA;16,40;119,22;23,01;45,11;24,11;2,13;60,75;NA;744435
Canarias;05;1991;mujeres;real;NA;0,96;44,30;29,37;30,73;5,10;1,38;36,03;NA;755275
Canarias;05;1992;hombres;real;NA;16,59;125,97;20,22;46,09;26,77;2,16;61,47;NA;751210
Canarias;05;1992;mujeres;real;NA;1,51;47,17;19,31;27,70;6,47;1,14;27,94;NA;762231
Canarias;05;1993;hombres;real;NA;16,30;123,32;26,11;39,23;26,49;2,22;63,55;NA;758067
Canarias;05;1993;mujeres;real;NA;0,91;37,56;25,62;28,45;6,19;1,25;31,52;NA;769385
Canarias;05;1994;hombres;real;NA;16,73;117,91;27,55;38,41;21,11;2,13;60,50;NA;765372
Canarias;05;1994;mujeres;real;NA;0,51;39,95;23,74;26,61;4,24;1,16;28,66;NA;777070
Canarias;05;1995;hombres;real;NA;16,00;104,25;24,40;42,76;19,59;1,99;55,84;NA;773451
Canarias;05;1995;mujeres;real;NA;1,36;40,36;16,31;24,36;5,66;0,98;22,63;NA;785513
Canarias;05;1996;hombres;real;NA;17,05;117,76;18,99;43,89;25,12;2,03;57,32;NA;782473
Canarias;05;1996;mujeres;real;NA;0,57;38,58;20,33;26,03;5,63;1,08;26,15;NA;795041
Canarias;05;1997;hombres;real;NA;13,71;127,84;20,16;38,61;20,11;1,97;55,43;3,32;793932
Canarias;05;1997;mujeres;real;NA;1,41;37,72;15,02;23,83;5,04;0,91;20,54;4,28;806550
Canarias;05;1998;hombres;real;NA;16,43;121,18;22,31;39,92;25,98;2,11;59,90;3,82;808160
Canarias;05;1998;mujeres;real;NA;1,60;39,71;16,47;21,71;5,05;0,94;21,46;4,55;820078
Canarias;05;1999;hombres;real;NA;233,40;109,05;21,29;32,06;22,15;2,28;65,72;4,52;824964
Canarias;05;1999;mujeres;real;NA;115,19;41,85;17,60;21,80;5,91;1,21;30,43;6,26;835986
Canarias;05;2000;hombres;real;NA;225,55;112,35;18,67;34,19;18,79;2,19;62,43;8,10;849027
Canarias;05;2000;mujeres;real;NA;115,45;37,08;18,48;21,19;5,41;1,20;29,84;7,74;857510
Canarias;05;2001;hombres;real;NA;226,08;104,86;21,88;31,45;21,49;2,25;64,42;6,58;875531
Canarias;05;2001;mujeres;real;NA;108,87;37,60;13,87;16,98;4,90;1,02;24,01;7,73;881183
Canarias;05;2002;hombres;real;NA;223,56;101,89;20,48;33,12;16,97;2,13;60,54;8,36;898776
Canarias;05;2002;mujeres;real;NA;103,36;30,03;14,68;16,34;3,33;0,95;21,86;8,55;902505
Canarias;05;2003;hombres;real;NA;220,46;95,61;22,44;30,82;16,23;2,10;59,68;6,12;920892
Canarias;05;2003;mujeres;real;NA;108,87;31,52;13,41;14,10;3,54;0,92;20,81;7,12;923225
Canarias;05;2004;hombres;real;NA;221,63;82,47;19,36;24,11;15,20;1,87;52,01;6,00;942662
Canarias;05;2004;mujeres;real;NA;111,20;27,39;16,60;18,59;3,70;1,03;24,41;7,22;944077
Canarias;05;2005;hombres;real;NA;213,47;86,72;19,88;23,32;14,61;1,87;52,13;5,84;965642
Canarias;05;2005;mujeres;real;NA;107,25;29,90;14,20;11,64;2,56;0,89;19,73;8,19;965404
Canarias;05;2006;hombres;real;16,38;210,86;76,25;18,17;21,38;12,78;1,72;46,96;6,25;987031
Canarias;05;2006;mujeres;real;19,44;97,59;28,50;13,96;14,88;2,80;0,89;19,85;8,80;985655
Canarias;05;2007;hombres;real;16,33;202,22;75,92;24,48;19,32;14,78;1,87;52,11;5,59;1010755
Canarias;05;2007;mujeres;real;19,54;97,70;23,64;17,53;9,61;3,51;0,92;20,66;7,56;1008544
Canarias;05;2008;hombres;real;16,43;206,91;72,44;20,17;20,15;13,30;1,73;47,58;5,91;1031387
Canarias;05;2008;mujeres;real;18,74;103,28;21,72;13,64;12,37;2,70;0,83;17,82;6,86;1030112
Canarias;05;2009;hombres;real;16,74;185,62;57,01;23,88;18,77;12,10;1,67;45,41;5,96;1042655
Canarias;05;2009;mujeres;real;18,03;100,60;17,67;15,74;12,87;3,90;0,88;19,51;6,09;1043314
Canarias;05;2010;hombres;real;17,10;198,17;53,72;20,79;14,50;14,56;1,60;43,01;5,62;1044156
Canarias;05;2010;mujeres;real;18,83;98,31;17,95;14,16;8,14;2,81;0,78;15,96;7,07;1048282
Canarias;05;2011;hombres;real;16,66;193,97;49,41;27,70;13,35;14,72;1,73;47,46;6,33;1049821
Canarias;05;2011;mujeres;real;16,62;90,08;14,96;13,82;7,87;4,45;0,76;15,44;7,81;1057202
