ccaa;genero;periodo;t_mental;antidep_ajustado;hipno_ajustado;suicidios;censo;origen;brecha_rel;n_personas_tm;antidep_anual_total;hipno_anual_total;n_suicidios
Aragón;total;2023;13,79069982902035;104,0586201984787;40,0399813113734;7,72400000000000;1344568,000000000;real;51,3522526751585;185425;51068570;19650314;104
Aragón;hombres;2024;9,26045023898376;52,5528604761449;20,0715658899625;12,34100000000000;671002,000000000;proyeccion;50,9769762127572;62138;12871022;4915842;83
Aragón;mujeres;2024;18,89000213282151;162,0512878762240;61,8188491904068;5,54300000000000;684416,000000000;proyeccion;50,9769762127572;129286;40482330;15443080;38
Aragón;total;2024;14,13342471204640;107,4686354629267;39,9845684187736;8,90900000000000;1355418,000000000;proyeccion;50,9769762127572;191567;53167697;19781468;121
Aragón;hombres;2025;9,53030935161840;54,4835463284175;20,6645828426543;12,58971428571719;671719,832526883;proyeccion;50,6176060799461;64017;13358153;5066496;85
Aragón;mujeres;2025;19,29900232671426;166,6075099793630;63,0362846953375;4,29328571428571;688770,000000000;proyeccion;50,6176060799461;132926;41885303;15847388;30
Aragón;total;2025;14,47614959507245;110,3328646274590;40,6891812231267;8,39300000000023;1360226,104486978;proyeccion;50,6176060799461;196908;54778340;20201468;114
Aragón;hombres;2026;9,80016846425303;56,4142321806900;21,2575997953462;12,58971428571719;670253,491916335;proyeccion;50,2731519645087;65686;13801320;5200513;84
Aragón;mujeres;2026;19,70800252060700;171,1637320825020;64,2537202002682;4,29328571428571;693124,000000000;proyeccion;50,2731519645087;136601;43302757;16255565;30
Aragón;total;2026;14,81887447809850;113,1970937919913;41,3937940274798;8,39300000000023;1359555,000875532;proyeccion;50,2731519645087;201471;56172651;20541156;114
Canarias;total;2010;NA;56,5884394931438;36,2147905508583;NA;2049142,000000000;real;NA;NA;42324578;27086376;NA
Canarias;total;2011;NA;57,6970849028003;36,6983078331755;NA;2069430,000000000;real;NA;NA;43581029;27719771;NA
Canarias;total;2012;NA;58,0180412572468;37,9291663288910;NA;2086774,000000000;real;NA;NA;44190747;28889603;NA
Canarias;hombres;2013;11,24500000000000;33,8116791004239;21,9971486948010;NA;1044764,000000000;real;45,1383129238425;117484;12893707;8388368;NA
Canarias;mujeres;2013;20,49700000000000;89,4498569638516;58,1941464225553;NA;1051512,000000000;real;45,1383129238425;215528;34331023;22335023;NA
Canarias;total;2013;15,88589128721600;61,6307680321378;40,0956475586781;NA;2096275,000000000;real;45,1383129238425;333012;47156189;30678799;NA
Canarias;hombres;2014;12,12900000000000;35,8114963043392;23,1615622405003;NA;1044204,000000000;real;44,9107507834855;126652;13648995;8827670;NA
Canarias;mujeres;2014;22,01700000000000;94,2011534001105;60,9258507117785;NA;1053525,000000000;real;44,9107507834855;231955;36223794;23428221;NA
Canarias;total;2014;17,09496805402414;65,0063248522248;42,0437064761394;NA;2097730,000000000;real;44,9107507834855;358606;49773487;32191666;NA
Canarias;hombres;2015;13,12200000000000;37,4594941982741;23,8926359387467;NA;1044624,000000000;real;44,3015408124284;137076;14282847;9109970;NA
Canarias;mujeres;2015;23,55900000000000;97,0486941597719;61,9001715724458;NA;1055671,000000000;real;44,3015408124284;248706;37394795;23851369;NA
Canarias;total;2015;18,36794793921806;67,2540941790230;42,8964037555963;NA;2100296,000000000;real;44,3015408124284;385781;51557529;32884728;NA
Canarias;hombres;2016;14,04100000000000;39,6968304649427;25,2072667155200;NA;1045938,000000000;real;43,7031394090052;146860;15154955;9623312;NA
Canarias;mujeres;2016;24,94100000000000;101,3299694248282;64,3439674062355;NA;1059252,000000000;real;43,7031394090052;264188;39176900;24877114;NA
Canarias;total;2016;19,52546781525658;70,5133999448855;44,7756170608778;NA;2105189,000000000;real;43,7031394090052;411048;54182072;34405315;NA
