ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,pib_lo,pib_hi,imp_social_total,pct_pib_social_total,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,pct_pib_sanidad,pct_pib_educacion,pct_pib_soberania,pct_pib_direccion,pct_pib_vivienda,pct_pib_empleo,pct_pib_idi,pct_pib_dependencia,pct_pib_discapacidad,pct_pib_salud_mental,pct_pib_diversidad,pct_pib_turismo,pct_pib_igualdad
bal,Baleares,2023,41502526000.0,real,,,5280539117.0,12.7234,2198416178.0,1245709578.0,68278986.0,910557711.0,98936363.0,145218055.0,43702835.0,202413664.0,23749730.0,115537986.0,35197165.0,180355214.0,12465652.0,5.2971,3.0015,0.1645,2.194,0.2384,0.3499,0.1053,0.4877,0.0572,0.2784,0.0848,0.4346,0.03
bal,Baleares,2024,44692852000.0,real,,,5385406648.0,12.0498,2271828953.0,1343385180.0,90522325.0,967461100.0,59596523.0,20000465.0,38885077.0,200326339.0,26475654.0,66909910.0,33962173.0,253406214.0,12646735.0,5.0832,3.0058,0.2025,2.1647,0.1333,0.0448,0.087,0.4482,0.0592,0.1497,0.076,0.567,0.0283
bal,Baleares,2025,47156552442.1196,proyeccion,34698643988.6863,54473051920.7015,5674906813.0,12.0342,2392009631.0,1421043777.0,71808431.0,939767000.0,90538370.0,139633328.0,37413350.0,225188836.0,31613998.0,64992256.0,39384262.0,208232117.0,13281457.0,5.0725,3.0135,0.1523,1.9929,0.192,0.2961,0.0793,0.4775,0.067,0.1378,0.0835,0.4416,0.0282
bal,Baleares,2026,50781507109.3719,proyeccion,36272254290.8116,60791078154.3898,5997056528.0,11.8095,2424124341.0,1400836886.0,65715277.0,1348004205.0,28701877.0,138730464.0,33781090.0,231857908.0,32039539.0,63313138.0,32987302.0,185626005.0,11338496.0,4.7736,2.7586,0.1294,2.6545,0.0565,0.2732,0.0665,0.4566,0.0631,0.1247,0.065,0.3655,0.0223
can,Canarias,2015,39636569000.0,real,,,4852217948.0,12.2418,2459743096.0,1505068806.0,55114206.0,385504779.0,42036852.0,90600439.0,82052180.0,96386589.0,45006031.0,0.0,33174407.0,47655904.0,9874659.0,6.2057,3.7972,0.139,0.9726,0.1061,0.2286,0.207,0.2432,0.1135,0.0,0.0837,0.1202,0.0249
can,Canarias,2016,40979670000.0,real,,,4887206803.0,11.9259,2495715117.0,1512161492.0,60478490.0,375105162.0,43289310.0,67197270.0,69970661.0,104208377.0,45291137.0,0.0,50717673.0,52724724.0,10347390.0,6.0901,3.69,0.1476,0.9153,0.1056,0.164,0.1707,0.2543,0.1105,0.0,0.1238,0.1287,0.0253
can,Canarias,2017,43035839000.0,real,,,5062643985.0,11.7638,2556566464.0,1554652062.0,66258575.0,434555556.0,46883133.0,64567875.0,50868847.0,118363914.0,47156440.0,0.0,58428671.0,52861263.0,11481185.0,5.9406,3.6125,0.154,1.0098,0.1089,0.15,0.1182,0.275,0.1096,0.0,0.1358,0.1228,0.0267
can,Canarias,2018,44609266000.0,real,,,5471464622.0,12.2653,2739535209.0,1655264047.0,72187990.0,498201841.0,50437167.0,64810392.0,42445674.0,162215406.0,49690444.0,0.0,65214842.0,58797690.0,12663920.0,6.1412,3.7106,0.1618,1.1168,0.1131,0.1453,0.0951,0.3636,0.1114,0.0,0.1462,0.1318,0.0284
can,Canarias,2019,45766832000.0,real,,,5828377944.0,12.7349,2832787821.0,1724573632.0,81466630.0,557610535.0,71096636.0,84268994.0,48074715.0,209575354.0,62025238.0,0.0,68438035.0,74724169.0,13736185.0,6.1896,3.7682,0.178,1.2184,0.1553,0.1841,0.105,0.4579,0.1355,0.0,0.1495,0.1633,0.03
can,Canarias,2020,37587399000.0,real,,,6180865068.0,16.444,2970650193.0,1843929720.0,91123442.0,575083623.0,82410761.0,85890300.0,54723072.0,218911465.0,65888272.0,0.0,97385922.0,80111061.0,14757237.0,7.9033,4.9057,0.2424,1.53,0.2193,0.2285,0.1456,0.5824,0.1753,0.0,0.2591,0.2131,0.0393
can,Canarias,2021,41407275000.0,real,,,6422548655.0,15.5107,3088468435.0,1942115290.0,97222642.0,583787037.0,109209002.0,85836504.0,47283119.0,220830538.0,72171796.0,0.0,63865711.0,95382995.0,16375586.0,7.4588,4.6903,0.2348,1.4099,0.2637,0.2073,0.1142,0.5333,0.1743,0.0,0.1542,0.2304,0.0395
can,Canarias,2022,48908196000.0,real,,,6841081745.0,13.9876,3225421670.0,2091903913.0,122367315.0,597609592.0,123954064.0,91338493.0,58640520.0,238918494.0,78747890.0,0.0,89335332.0,104769217.0,18075245.0,6.5948,4.2772,0.2502,1.2219,0.2534,0.1868,0.1199,0.4885,0.161,0.0,0.1827,0.2142,0.037
can,Canarias,2023,53990089000.0,real,,,7585039263.0,14.0489,3575652999.0,2268413967.0,142858532.0,655176029.0,140842674.0,113622080.0,75998230.0,265498955.0,80288274.0,0.0,120444906.0,127704086.0,18538531.0,6.6228,4.2015,0.2646,1.2135,0.2609,0.2104,0.1408,0.4918,0.1487,0.0,0.2231,0.2365,0.0343
can,Canarias,2024,58144618000.0,real,,,8324947704.0,14.3177,4108181841.0,2363740548.0,118713832.0,767441894.0,122709442.0,93117329.0,95074319.0,305199316.0,79510153.0,0.0,120971153.0,131144302.0,19143575.0,7.0655,4.0653,0.2042,1.3199,0.211,0.1601,0.1635,0.5249,0.1367,0.0,0.2081,0.2255,0.0329
can,Canarias,2025,61062044154.199,proyeccion,47753031201.0362,68677505909.0252,8728843881.0,14.295,4308657056.0,2433340054.0,119247851.0,802339328.0,149243254.0,97655020.0,88664354.0,350955290.0,82280204.0,0.0,140728484.0,134487265.0,21245721.0,7.0562,3.985,0.1953,1.314,0.2444,0.1599,0.1452,0.5748,0.1347,0.0,0.2305,0.2202,0.0348
can,Canarias,2026,65760759009.7699,proyeccion,49371161770.2874,75656960820.5432,9311953422.0,14.1603,4542045217.0,2600971304.0,130679861.0,865129963.0,171233086.0,96610923.0,79698924.0,412171718.0,86143008.0,0.0,150484706.0,154797203.0,21987509.0,6.9069,3.9552,0.1987,1.3156,0.2604,0.1469,0.1212,0.6268,0.131,0.0,0.2288,0.2354,0.0334
cat,Cataluña,2015,206434270000.0,real,,,29427317157.88,14.2551,8258548090.72,5130679426.99,3428434583.49,9745712277.47,161709895.47,563980436.9,323171210.78,1440365937.92,9065264.0,55376487.82,201891282.46,74233946.16,34148317.7,4.0006,2.4854,1.6608,4.721,0.0783,0.2732,0.1565,0.6977,0.0044,0.0268,0.0978,0.036,0.0165
cat,Cataluña,2016,214502547000.0,real,,,30414108256.41,14.1789,8531977179.82,5423136303.83,3547319083.71,9702222373.16,182028059.77,768481004.66,356673042.34,1482975719.45,9065264.0,74881966.22,209427233.44,85146541.27,40774484.74,3.9776,2.5282,1.6537,4.5231,0.0849,0.3583,0.1663,0.6914,0.0042,0.0349,0.0976,0.0397,0.019
cat,Cataluña,2017,223139777000.0,real,,,30538984455.43,13.686,8616575864.15,5628219105.81,3837349914.35,9171381232.69,178147546.3,730980132.94,388801186.2,1491396034.11,9113720.06,123823424.12,218324063.04,96127946.32,48744285.34,3.8615,2.5223,1.7197,4.1102,0.0798,0.3276,0.1742,0.6684,0.0041,0.0555,0.0978,0.0431,0.0218
cat,Cataluña,2018,231101287000.0,real,,,30538984455.43,13.2145,8616575864.15,5628219105.81,3837349914.35,9171381232.69,178147546.3,730980132.94,388801186.2,1491396034.11,9113720.06,123823424.12,218324063.04,96127946.32,48744285.34,3.7285,2.4354,1.6605,3.9686,0.0771,0.3163,0.1682,0.6453,0.0039,0.0536,0.0945,0.0416,0.0211
cat,Cataluña,2019,240165818000.0,real,,,34343427246.52,14.2999,9134162335.42,6195003669.09,4066200004.78,11302965894.35,189017634.5,898869557.2,443006886.47,1531771266.95,11417511.15,130893303.58,281487904.42,111766211.43,46865067.18,3.8033,2.5795,1.6931,4.7063,0.0787,0.3743,0.1845,0.6378,0.0048,0.0545,0.1172,0.0465,0.0195
cat,Cataluña,2020,214857435000.0,real,,,38170751565.25,17.7656,9494241602.78,6628901871.22,4210510791.34,13934023166.98,242922701.0,931988864.98,459593954.72,1594179039.73,13092933.25,142380604.63,363758901.09,122419934.93,32737198.6,4.4189,3.0853,1.9597,6.4852,0.1131,0.4338,0.2139,0.742,0.0061,0.0663,0.1693,0.057,0.0152
cat,Cataluña,2021,234820402000.0,real,,,38170751565.25,16.2553,9494241602.78,6628901871.22,4210510791.34,13934023166.98,242922701.0,931988864.98,459593954.72,1594179039.73,13092933.25,142380604.63,363758901.09,122419934.93,32737198.6,4.0432,2.823,1.7931,5.9339,0.1035,0.3969,0.1957,0.6789,0.0056,0.0606,0.1549,0.0521,0.0139
