ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
ast,Asturias,2015,21388142000.0,real,educacion,3.3773,722331717.0
ast,Asturias,2016,21675441000.0,real,educacion,3.418,740875925.0
ast,Asturias,2017,22538267000.0,real,educacion,3.3257,749559459.0
ast,Asturias,2018,23185680000.0,real,educacion,3.3381,773957382.0
ast,Asturias,2019,23666618000.0,real,educacion,3.394,803249554.0
ast,Asturias,2020,21376392000.0,real,educacion,3.9544,845304215.0
ast,Asturias,2021,23617641000.0,real,educacion,3.7868,894354551.0
ast,Asturias,2022,26690102000.0,real,educacion,3.532,942696580.0
ast,Asturias,2023,28350371000.0,real,educacion,3.5242,999121164.0
ast,Asturias,2024,30012308000.0,real,educacion,3.4727,1042251593.0
ast,Asturias,2025,31206996480.0363,proyeccion,educacion,3.5034,1093294252.0
ast,Asturias,2026,32540503695.6435,proyeccion,educacion,3.6229,1178921574.0
bal,Baleares,2015,28653742000.0,real,educacion,2.7075,775802264.0
bal,Baleares,2016,30233284000.0,real,educacion,2.7038,817453988.0
bal,Baleares,2017,31746251000.0,real,educacion,2.7831,883516262.0
bal,Baleares,2018,33185968000.0,real,educacion,0.003,1006436.0
bal,Baleares,2019,34350576000.0,real,educacion,0.003,1035250.0
bal,Baleares,2020,26669106000.0,real,educacion,0.0038,1012437.0
bal,Baleares,2021,30512146000.0,real,educacion,0.0035,1060454.0
bal,Baleares,2022,37189162000.0,real,educacion,3.0556,1136369323.0
bal,Baleares,2023,41502526000.0,real,educacion,3.0015,1245709578.0
bal,Baleares,2024,44692852000.0,real,educacion,3.0058,1343385180.0
bal,Baleares,2025,47156552442.1196,proyeccion,educacion,3.0135,1421043777.0
bal,Baleares,2026,50781507109.3719,proyeccion,educacion,2.7586,1400836886.0
can,Canarias,2015,39636569000.0,real,educacion,3.7972,1505068806.0
can,Canarias,2016,40979670000.0,real,educacion,3.69,1512161492.0
can,Canarias,2017,43035839000.0,real,educacion,3.6125,1554652062.0
can,Canarias,2018,44609266000.0,real,educacion,3.7106,1655264047.0
can,Canarias,2019,45766832000.0,real,educacion,3.7682,1724573632.0
can,Canarias,2020,37587399000.0,real,educacion,4.9057,1843929720.0
can,Canarias,2021,41407275000.0,real,educacion,4.6903,1942115290.0
can,Canarias,2022,48908196000.0,real,educacion,4.2772,2091903913.0
can,Canarias,2023,53990089000.0,real,educacion,4.2015,2268413967.0
can,Canarias,2024,58144618000.0,real,educacion,4.0653,2363740548.0
can,Canarias,2025,61062044154.199,proyeccion,educacion,3.985,2433340054.0
can,Canarias,2026,65760759009.7699,proyeccion,educacion,3.9552,2600971304.0
cat,Cataluña,2015,206434270000.0,real,educacion,2.4854,5130679426.99
cat,Cataluña,2016,214502547000.0,real,educacion,2.5282,5423136303.83
cat,Cataluña,2017,223139777000.0,real,educacion,2.5223,5628219105.81
cat,Cataluña,2018,231101287000.0,real,educacion,2.4354,5628219105.81
