ccaa,ccaa_nombre,anio,filas,n_conceptos,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,gasto_social_estricto,gasto_clasificado,total_extraido,total_hacienda,social_estricto_pct,cobertura_clasif_pct
cnt,Cantabria,2024,89,11,1153704317.0,723842463.0,17980803.0,65842609.0,30836033.0,108749736.0,49604154.0,177234691.0,0.0,0.0,14475355.0,25466443.0,7522267.0,2309416262.0,2375258871.0,3568557924.0,3547667860.0,65.1,67.0
cnt,Cantabria,2025,88,11,1225308481.0,746611006.0,17790064.0,43423689.0,31611589.0,112749736.0,77307482.0,185614577.0,0.0,0.0,17077855.0,25121524.0,7690961.0,2446883275.0,2490306964.0,3790881028.0,3755661620.0,65.2,66.3
cnt,Cantabria,2026,91,11,1324077382.0,793193442.0,19247162.0,44481120.0,46014536.0,112749736.0,83491279.0,205233389.0,0.0,0.0,19250355.0,24653291.0,8259262.0,2636169834.0,2680650954.0,3972736127.0,0.0,,
cym,Cast. y Leon,2015,104,13,3252486438.0,1777814120.0,1443880658.0,1488507504.0,135785844.0,231123060.0,178457014.0,584230223.0,128871699.0,8314980.0,71332532.0,22502178.0,7448896.0,7842247642.0,9330755146.0,9920811756.0,9920811750.0,79.0,94.1
cym,Cast. y Leon,2016,103,13,3285027920.0,1829589229.0,1318536495.0,1494594547.0,145271044.0,233704628.0,166951996.0,618898555.0,130292035.0,8325168.0,72240073.0,22460969.0,7458583.0,7838756695.0,9333351242.0,9843699243.0,9843699240.0,79.6,94.8
cym,Cast. y Leon,2017,102,13,3446716392.0,1900565408.0,1346493414.0,1430901081.0,152388567.0,261461840.0,224628906.0,661201402.0,135944676.0,8722181.0,75180759.0,23983830.0,8015947.0,8245303322.0,9676204403.0,10293186358.0,10293186360.0,80.1,94.0
cym,Cast. y Leon,2018,102,13,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,8522791586.0,10339089520.0,10859218623.0,10859218620.0,78.5,95.2
cym,Cast. y Leon,2019,102,13,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,8522791586.0,10339089520.0,10859218623.0,10784981500.0,79.0,95.9
cym,Cast. y Leon,2020,102,13,3544930466.0,1954038890.0,1382181385.0,1816297934.0,166810280.0,271877156.0,242182633.0,696811366.0,140093908.0,8978860.0,81009410.0,25339532.0,8537700.0,8522791586.0,10339089520.0,10859218623.0,10752614220.0,79.3,96.2
cym,Cast. y Leon,2021,104,13,4316967631.0,2248721516.0,1419449800.0,1929481958.0,173261426.0,300892031.0,303237083.0,744737627.0,172600101.0,10261322.0,87676150.0,29882122.0,10835846.0,9818522655.0,11748004613.0,12291444523.0,12291444520.0,79.9,95.6
cym,Cast. y Leon,2022,104,13,4316967631.0,2248721516.0,1419449800.0,1929481958.0,173261426.0,300892031.0,303237083.0,744737627.0,172600101.0,10261322.0,87676150.0,29882122.0,10835846.0,9818522655.0,11748004613.0,12291444523.0,12291444520.0,79.9,95.6
cym,Cast. y Leon,2023,107,13,4690046743.0,2481746644.0,1460955044.0,2157219135.0,144968061.0,375461898.0,438440387.0,865314063.0,191657715.0,10306603.0,108523011.0,85235574.0,11886698.0,10864542441.0,13021761576.0,13809836891.0,13809836900.0,78.7,94.3
cym,Cast. y Leon,2024,104,13,4812765002.0,2630711524.0,1497089801.0,2491550593.0,133066524.0,388138640.0,379187952.0,950482061.0,204458058.0,12633520.0,109844387.0,61329866.0,14842204.0,11194549539.0,13686100132.0,14562494117.0,14562494140.0,76.9,94.0
cym,Cast. y Leon,2025,103,13,4812765002.0,2630711524.0,1497089801.0,2491550593.0,133066524.0,388138640.0,379187952.0,950482061.0,204458058.0,12633520.0,109844387.0,61329866.0,14842204.0,11194549539.0,13686100132.0,14562494117.0,14562494140.0,76.9,94.0
cym,Cast. y Leon,2026,103,13,4812765002.0,2630711524.0,1497089801.0,2491550593.0,133066524.0,388138640.0,379187952.0,950482061.0,204458058.0,12633520.0,109844387.0,61329866.0,14842204.0,11194549539.0,13686100132.0,14562494117.0,0.0,,
ext,Extremadura,2015,78,11,1376856967.0,1019830034.0,1008359989.0,632243278.0,48234914.0,244119405.0,107270160.0,295124175.0,0.0,0.0,189164321.0,35571564.0,6230830.0,4330762359.0,4963005637.0,5365699560.0,5365699570.0,80.7,92.5
ext,Extremadura,2016,77,11,1550101891.0,1016192181.0,867731588.0,526188628.0,48458475.0,256405996.0,107590586.0,301023551.0,0.0,0.0,192882314.0,23479376.0,8046928.0,4371912886.0,4898101514.0,5197428064.0,5197428070.0,84.1,94.2
ext,Extremadura,2017,77,11,1539066245.0,1016627283.0,909494357.0,460889966.0,44149780.0,269570975.0,108445889.0,309634440.0,0.0,0.0,195493738.0,22428519.0,8440314.0,4423351540.0,4884241506.0,5171626735.0,5171626730.0,85.5,94.4
ext,Extremadura,2018,77,11,1603961004.0,1041322738.0,918227109.0,535461641.0,50311665.0,307539563.0,109954628.0,317996579.0,0.0,0.0,215354989.0,23083317.0,8777536.0,4596529128.0,5131990769.0,5433975906.0,5433975910.0,84.6,94.4
ext,Extremadura,2019,77,11,1691119508.0,1071976980.0,940779570.0,688083005.0,64571981.0,313361114.0,120609777.0,330608387.0,0.0,0.0,216217987.0,23694251.0,10834942.0,4783774497.0,5471857502.0,5797947023.0,5797947040.0,82.5,94.4
ext,Extremadura,2020,80,11,1742520488.0,1096831818.0,957921474.0,739763386.0,63786749.0,327303628.0,107121478.0,347141661.0,0.0,0.0,215058454.0,25053164.0,11567653.0,4894306567.0,5634069953.0,6006647051.0,6005877870.0,81.5,93.8
ext,Extremadura,2021,80,11,1876516389.0,1187831592.0,1002336789.0,810635397.0,70705624.0,343359065.0,117651204.0,360672739.0,0.0,0.0,217134557.0,26431175.0,14993077.0,5217632211.0,6028267608.0,6423894820.0,6423894820.0,81.2,93.8
ext,Extremadura,2022,79,11,2008513430.0,1233864419.0,1000410914.0,932107104.0,84768631.0,393155595.0,152257697.0,412180332.0,0.0,0.0,245746355.0,27195666.0,25058177.0,5583151216.0,6515258320.0,6984511147.0,6999970110.0,79.8,93.1
