ccaa,ccaa_nombre,anio,estado,filas,pct_concepto,n_conceptos,magnitud_disp,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,total_extraido,gasto_social
ara,Aragón,2017,VERDE_PRAGM,166,65.7,10,si,1845830789.42,1040672901.92,635679223.88,165401408.71,35198225.63,162891829.99,78976928.7,0.0,0.0,0.0,1337482.01,15327007.66,7722248.16,5963302945.25,3989038046.08
ara,Aragón,2018,VERDE_PRAGM,159,67.3,10,si,1943284163.95,1090322967.47,642933404.76,177554581.51,39953112.3,183029097.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,8383134.34,6578694732.87,4184246100.53
ara,Aragón,2019,VERDE_PRAGM,159,67.3,10,si,1943284163.95,1090322967.47,642933404.76,177554581.51,39953112.3,183029097.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,8383134.34,6578694732.87,4184246100.53
ara,Aragón,2020,VERDE_PRAGM,165,63.6,10,si,2011375281.29,1182200938.26,652097327.27,180272823.25,42982028.47,169585767.71,71350539.72,0.0,0.0,0.0,1511098.44,10810854.19,12547265.28,6892936462.86,4334733923.88
ara,Aragón,2021,VERDE_PRAGM,186,63.4,10,si,2295688201.41,1294794240.56,674185062.13,232770691.13,48846602.79,180303097.38,87919449.35,0.0,0.0,0.0,1564164.85,14163993.16,12347265.28,7883357046.31,4842582768.04
ara,Aragón,2022,VERDE_PRAGM,181,64.6,10,si,2185911149.5,1311647998.15,689672358.27,215932166.48,51683921.83,182887889.16,78952584.61,0.0,0.0,0.0,1558190.69,30748157.19,18363610.7,7883386466.49,4767358026.58
ara,Aragón,2023,VERDE_PRAGM,181,64.6,10,si,2481490321.17,1373141920.04,715069103.18,227463740.08,101296832.15,247235859.74,79775764.2,0.0,0.0,0.0,1588071.16,52714982.67,16503836.1,8730219761.4,5296280430.49
ara,Aragón,2024,VERDE_PRAGM,197,64.5,11,si,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,9130035183.17,5760448118.54
ara,Aragón,2025,VERDE_PRAGM,197,64.5,11,si,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,9130035183.17,5760448118.54
ara,Aragón,2026,VERDE_PRAGM,197,64.5,11,si,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,9130035183.17,5760448118.54
ast,Asturias,2015,VERDE_PRAGM,107,67.3,9,si,2917188581.0,722331717.0,152973372.0,400059115.0,29149040.0,199114977.0,17946722.0,0.0,0.0,0.0,0.0,8464428.0,2204598.0,5132832630.0,4449432550.0
ast,Asturias,2016,VERDE_PRAGM,91,70.3,9,si,1639849636.0,740875925.0,147056925.0,415634835.0,30152620.0,96170390.0,17829782.0,0.0,0.0,0.0,0.0,8225653.0,2253168.0,3536588014.0,3098048934.0
ast,Asturias,2017,VERDE_PRAGM,91,70.3,9,si,1668954671.0,749559459.0,181323431.0,446755919.0,29118540.0,100967817.0,17846760.0,0.0,0.0,0.0,0.0,10164720.0,2244818.0,3656129227.0,3206936135.0
ast,Asturias,2018,VERDE_PRAGM,90,70.0,9,si,1699483931.0,773957382.0,204193205.0,480651754.0,33338517.0,115091779.0,18294788.0,0.0,0.0,0.0,0.0,11722048.0,2520649.0,3821745567.0,3339254053.0
ast,Asturias,2019,VERDE_PRAGM,90,70.0,9,si,1751509971.0,803249554.0,201089264.0,490853037.0,33433490.0,118335912.0,19042320.0,0.0,0.0,0.0,0.0,10006430.0,4092550.0,3915957847.0,3431612528.0
ast,Asturias,2020,VERDE_PRAGM,95,70.5,9,si,1801183712.0,845304215.0,200868212.0,506586802.0,33687548.0,118580815.0,27138013.0,0.0,0.0,0.0,0.0,10322743.0,5073031.0,4040840881.0,3548745091.0
ast,Asturias,2021,VERDE_PRAGM,96,70.8,10,si,1942029769.0,894354551.0,230805182.0,623750794.0,36725415.0,133483253.0,33372041.0,0.0,0.0,0.0,65000.0,12233440.0,6907500.0,4469965260.0,3913726945.0
ast,Asturias,2022,VERDE_PRAGM,96,70.8,10,si,1987383547.0,942696580.0,233277063.0,557625232.0,39465130.0,142372110.0,37751388.0,0.0,0.0,0.0,75000.0,12859884.0,11532497.0,4636961432.0,3965038431.0
ast,Asturias,2023,VERDE_PRAGM,96,70.8,10,si,2115483423.0,999121164.0,245492124.0,669127894.0,79339082.0,167228333.0,37751121.0,0.0,0.0,0.0,90000.0,30351673.0,13215572.0,5202241139.0,4357200386.0
ast,Asturias,2024,VERDE_PRAGM,104,68.3,10,si,2322856371.0,1042251593.0,93514159.0,636719640.0,98362253.0,172265850.0,54665975.0,0.0,0.0,0.0,2947640.0,40587909.0,14837739.0,5439551624.0,4479009129.0
