codigo,denominacion,importe_eur,ccaa_id3,anio,capa,capitulo,fuente_path,fecha_captura
04,Transferencias corrientes,1644821430.0,ext,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
05,Fondo de contingencia,9114270.0,ext,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
06,Inversiones reales,465567630.0,ext,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
07,Transferencias de capital,373727840.0,ext,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
08,Activos financieros,1000.0,ext,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
09,Pasivos financieros,344961480.0,ext,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
01,Gastos de personal,3382029180.0,gal,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
02,Gastos corrientes en bienes y servicios,1384757850.0,gal,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
03,Gastos financieros,335913960.0,gal,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
04,Transferencias corrientes,1963494420.0,gal,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
05,Fondo de contingencia,125238560.0,gal,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
06,Inversiones reales,697899240.0,gal,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
07,Transferencias de capital,546030840.0,gal,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
08,Activos financieros,146662470.0,gal,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
09,Pasivos financieros,1208335080.0,gal,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_gal.xlsx,2026-05-30T11:18:51.800413+00:00
01,Gastos de personal,418983450.0,lar,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
02,Gastos corrientes en bienes y servicios,245669020.0,lar,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
03,Gastos financieros,39742440.0,lar,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
04,Transferencias corrientes,281058540.0,lar,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
05,Fondo de contingencia,1000000.0,lar,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
06,Inversiones reales,64484820.0,lar,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
07,Transferencias de capital,103387880.0,lar,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
08,Activos financieros,30348220.0,lar,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
09,Pasivos financieros,102090860.0,lar,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_lar.xlsx,2026-05-30T11:18:52.360354+00:00
01,Gastos de personal,6088987310.0,mad,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
02,Gastos corrientes en bienes y servicios,3839957780.0,mad,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
03,Gastos financieros,970379130.0,mad,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
04,Transferencias corrientes,4746750590.0,mad,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
05,Fondo de contingencia,90505200.0,mad,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
06,Inversiones reales,543267180.0,mad,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
07,Transferencias de capital,101709500.0,mad,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_mad.xlsx,2026-05-30T11:18:52.923621+00:00
