ccaa;fecha;genero;origen_genero;origen;cobertura_pct_ppd;solicitudes_pct_ppd;limbo_grado_pct_ppd;limbo_pia_pct_ppd;limbo_prestaciones_pct_ppd;pct_mujeres_benef
Canarias;2024-01-01;mujer;estimado;real;12,5553;19,5131;3,1857;1,8025;1,9387;77,7450
Canarias;2024-02-01;hombre;estimado;real;3,5393;5,6055;0,9941;0,5136;0,5446;77,8166
Canarias;2024-02-01;mujer;estimado;real;12,4155;19,6634;3,4872;1,8018;1,9104;77,8166
Canarias;2024-03-01;hombre;estimado;real;3,5108;5,6659;0,9591;0,6197;0,5404;77,8044
Canarias;2024-03-01;mujer;estimado;real;12,3068;19,8613;3,3621;2,1721;1,8944;77,8044
Canarias;2024-04-01;hombre;estimado;real;3,8206;6,1858;1,1431;0,6110;0,6547;76,3884
Canarias;2024-04-01;mujer;estimado;real;12,3606;20,0123;3,6982;1,9766;2,1181;76,3884
Canarias;2024-05-01;hombre;estimado;real;3,9821;6,4716;1,2438;0,6157;0,6804;75,7911
Canarias;2024-05-01;mujer;estimado;real;12,4669;20,2608;3,8941;1,9276;2,1303;75,7911
Canarias;2024-06-01;hombre;estimado;real;4,4274;7,2137;1,4824;0,6265;0,7687;73,6679
Canarias;2024-06-01;mujer;estimado;real;12,3864;20,1813;4,1473;1,7528;2,1505;73,6679
Canarias;2024-07-01;hombre;estimado;real;4,4474;7,4059;1,6066;0,6701;0,7806;73,6867
Canarias;2024-07-01;mujer;estimado;real;12,4544;20,7392;4,4991;1,8764;2,1859;73,6867
Canarias;2024-08-01;hombre;estimado;real;4,4576;7,5135;1,6930;0,6787;0,7654;73,7447
Canarias;2024-08-01;mujer;estimado;real;12,5203;21,1036;4,7551;1,9064;2,1498;73,7447
Canarias;2024-09-01;hombre;estimado;real;4,4814;7,6032;1,7657;0,6708;0,7634;73,8208
Canarias;2024-09-01;mujer;estimado;real;12,6369;21,4398;4,9789;1,8915;2,1526;73,8208
Canarias;2024-10-01;hombre;estimado;real;4,4797;7,6472;1,7412;0,7481;0,7167;74,0826
Canarias;2024-10-01;mujer;estimado;real;12,8050;21,8588;4,9770;2,1383;2,0487;74,0826
Canarias;2024-11-01;hombre;estimado;real;4,5194;7,7160;1,7456;0,7711;0,7723;74,1159
Canarias;2024-11-01;mujer;estimado;real;12,9408;22,0937;4,9983;2,2080;2,2115;74,1159
Canarias;2024-12-01;hombre;estimado;real;4,5862;7,7170;1,6808;0,7617;0,7836;74,1720
Canarias;2024-12-01;mujer;estimado;real;13,1706;22,1613;4,8268;2,1874;2,2503;74,1720
Canarias;2025-01-01;hombre;estimado;real;4,5058;7,4252;1,5745;0,7701;0,7802;74,1873
Canarias;2025-01-01;mujer;estimado;real;12,9499;21,3405;4,5253;2,2133;2,2422;74,1873
Canarias;2025-02-01;hombre;estimado;real;4,5186;7,4923;1,2082;1,0581;0,7758;74,3017
Canarias;2025-02-01;mujer;estimado;real;13,0646;21,6626;3,4933;3,0592;2,2431;74,3017
Canarias;2025-03-01;hombre;estimado;real;4,5301;7,4821;1,0794;1,1587;0,7465;74,3376
Canarias;2025-03-01;mujer;estimado;real;13,1227;21,6739;3,1266;3,3565;2,1626;74,3376
Canarias;2025-04-01;hombre;estimado;real;4,5491;7,4755;0,9295;1,2628;0,7661;74,4057
Canarias;2025-04-01;mujer;estimado;real;13,2247;21,7322;2,7021;3,6711;2,2272;74,4057
Canarias;2025-05-01;hombre;estimado;real;4,5860;7,5130;0,8165;1,3657;0,7800;74,3656
Canarias;2025-05-01;mujer;estimado;real;13,3041;21,7953;2,3685;3,9619;2,2627;74,3656
Canarias;2025-06-01;hombre;estimado;real;4,7592;7,5215;0,6879;1,3137;0,8390;74,2858
Canarias;2025-06-01;mujer;estimado;real;13,7489;21,7290;1,9874;3,7951;2,4237;74,2858
Canarias;2025-07-01;hombre;estimado;real;5,0155;7,6291;0,7230;1,1180;0,9390;74,2511
Canarias;2025-07-01;mujer;estimado;real;14,4630;21,9999;2,0850;3,2239;2,7079;74,2511
Canarias;2025-08-01;hombre;estimado;real;5,3564;7,6804;0,6651;0,8788;1,1542;74,2013
Canarias;2025-08-01;mujer;estimado;real;15,4060;22,0902;1,9130;2,5274;3,3197;74,2013
Canarias;2025-09-01;hombre;estimado;real;5,7758;7,7723;0,5605;0,6360;1,3685;73,9752
Canarias;2025-09-01;mujer;estimado;real;16,4178;22,0928;1,5932;1,8078;3,8899;73,9752
Canarias;2025-10-01;hombre;estimado;real;6,0680;7,8044;0,4572;0,4607;1,5403;74,0393
Canarias;2025-10-01;mujer;estimado;real;17,3058;22,2581;1,3039;1,3138;4,3930;74,0393
Canarias;2025-11-01;hombre;estimado;real;6,3086;7,7953;0,3175;0,3339;1,6699;74,1137
