territorio_cod,territorio,genero,anyo,tasa_paro,tasa_actividad,tasa_empleo,horas_servicios,tasa_paro_juvenil,paro_larga_duracion,temporalidad,parcialidad,brecha_salarial,pct_alquiler_salario
10,Comunitat Valenciana,Ambos géneros,2016,20.615000000000002,59.3725,47.1375,123.475,45.605,59.575,27.425,19.05,22.485,25.67
10,Comunitat Valenciana,Ambos géneros,2017,18.177500000000002,59.1025,48.365,124.15,41.75,51.75,29.525,18.625,22.39,27.32
10,Comunitat Valenciana,Ambos géneros,2018,15.59,58.545,49.417500000000004,122.7,34.34,48.9,28.775,15.95,21.605,29.12
10,Comunitat Valenciana,Ambos géneros,2019,14.1125,58.2125,49.9975,123.525,31.17,44.0,27.9,15.975000000000001,21.163,31.27
10,Comunitat Valenciana,Ambos géneros,2020,16.19,57.17,47.917500000000004,113.675,36.5525,39.375,25.175,16.125,20.101,31.92
10,Comunitat Valenciana,Ambos géneros,2021,16.085,57.7725,48.485,121.025,37.4025,48.724999999999994,26.925,15.575,20.237,31.03
10,Comunitat Valenciana,Ambos géneros,2022,13.29,58.705,50.905,124.375,28.505000000000003,47.3,22.525,15.325,17.046,32.63
10,Comunitat Valenciana,Ambos géneros,2023,12.8025,59.197500000000005,51.620000000000005,122.975,28.560000000000002,38.8,18.1,15.525,16.925,35.99
10,Comunitat Valenciana,Ambos géneros,2024,12.6275,58.8825,51.45,123.5,25.73,39.075,17.25,16.0,17.537,39.27
10,Comunitat Valenciana,Ambos géneros,2025,11.5725,58.705,51.915,123.925,30.5325,37.325,16.375,15.325,,
10,Comunitat Valenciana,Ambos géneros,2026,11.75,58.91,51.99,125.9,28.59,35.7,15.3,15.4,,
10,Comunitat Valenciana,Hombres,2010,22.9325,67.9325,52.3525,,41.42,46.625,27.325,8.075,,25.1
10,Comunitat Valenciana,Hombres,2011,23.7025,66.74000000000001,50.917500000000004,,55.254999999999995,52.45,25.875,7.675,,22.8
10,Comunitat Valenciana,Hombres,2012,27.355,66.8125,48.5375,,55.7275,54.175000000000004,24.775,8.425,,22.21
10,Comunitat Valenciana,Hombres,2013,27.0825,66.29,48.3375,,57.67,59.15,25.175,10.125,,21.51
10,Comunitat Valenciana,Hombres,2014,25.0175,65.55000000000001,49.1525,,57.7025,63.225,25.975,9.85,,21.18
