ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Cataluña;2021;hombres;real;19,7;49,9;38,6;11,0;15,3;85,0;83,0;40,4
Cataluña;2021;mujeres;real;9,8;56,4;31,7;14,8;15,4;89,7;87,8;39,5
Cataluña;2021;total;real;14,9;53,1;35,1;12,9;15,3;87,3;85,4;39,9
Cataluña;2022;hombres;real;20,2;49,6;37,4;11,3;12,3;86,7;83,1;44,3
Cataluña;2022;mujeres;real;14,6;59,3;30,9;14,6;14,5;90,9;88,9;43,6
Cataluña;2022;total;real;17,5;54,4;34,1;12,9;13,4;88,7;85,9;43,9
Cataluña;2023;hombres;real;17,1;53,4;36,4;12,4;12,8;86,6;78,0;43,6
Cataluña;2023;mujeres;real;12,3;59,6;30,0;15,8;12,5;91,3;88,1;43,3
Cataluña;2023;total;real;14,8;56,5;33,2;14,1;12,7;88,9;82,8;43,5
Cataluña;2024;hombres;proyeccion;16,5;54,3;34,8;14,6;11,2;87,2;78,0;44,4
Cataluña;2024;mujeres;proyeccion;10,6;60,8;28,8;17,5;12,7;91,5;88,3667;43,8
Cataluña;2024;total;proyeccion;13,7;57,5;31,8;16,0;11,9;89,3;82,8;44,1
Cataluña;2025;hombres;proyeccion;16,8;51,7;34,9;14,4;10,3;88,6778;78,0;44,4
Cataluña;2025;mujeres;proyeccion;9,8;63,5;27,6;17,9;10,8;91,5;88,3667;43,8
Cataluña;2025;total;proyeccion;13,5;57,5;31,3;16,2;10,6;90,5667;82,8;44,1
Cataluña;2026;hombres;proyeccion;16,8;57,0436;33,7382;15,1887;10,3;90,1556;78,0;44,4
