modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
HistoricAverage,4.717717016243698,2.2102642775694967,2.499016381192082,0.04655638288719319,HistoricAverage,False,mape,2|Melilla|Mujeres,trimestral
AutoTheta,0.4947611166674451,0.27663012469126436,0.29824638075100735,0.004955087093121926,AutoARIMA,True,mape,2|País Vasco|Ambos géneros,trimestral
Naive,0.67962349716476,0.40499999999999936,0.5979548477937093,0.006825363387402559,Naive,False,mape,2|País Vasco|Hombres,trimestral
WindowAverage,0.6139311644206158,0.3231249999999992,0.34260833140774616,0.00614978350858827,WindowAverage,False,mape,2|País Vasco|Mujeres,trimestral
Naive,1.0104140189182405,0.5325000000000006,0.6351574607922054,0.010129833071764885,Naive,False,mape,2|Principado de Asturias|Ambos géneros,trimestral
Naive,1.468779386008055,0.8400000000000016,1.0519030373565825,0.014709745206199134,AutoTheta,True,mape,2|Principado de Asturias|Hombres,trimestral
WindowAverage,1.4454869171201987,0.705937500000001,0.8748671774189495,0.014558414106001257,WindowAverage,False,mape,2|Principado de Asturias|Mujeres,trimestral
HistoricAverage,0.6163360594228212,0.37210427729670137,0.4147582738796385,0.006170883537258729,Prophet,True,mape,2|Región de Murcia|Ambos géneros,trimestral
Naive,0.7998342856796197,0.5349999999999966,0.6414436841999442,0.007989248114686725,Naive,False,mape,2|Región de Murcia|Hombres,trimestral
WindowAverage,1.5954383088994657,0.8587500000000006,0.9812766716120395,0.015991620111731854,WindowAverage,False,mape,2|Región de Murcia|Mujeres,trimestral
Prophet,0.17638553443188992,0.10394897632714084,0.14185519028513222,0.0017608770817285537,Prophet,False,mape,2|Total Nacional|Ambos géneros,trimestral
Prophet,0.13120045025671037,0.0840768213894485,0.13908195341887597,0.0013159621441453826,Prophet,False,mape,2|Total Nacional|Hombres,trimestral
Prophet,0.46475008226763437,0.2530324941129187,0.2700444748744195,0.004649409602883343,Prophet,False,mape,2|Total Nacional|Mujeres,trimestral
Prophet,0.806905510856635,0.39407490161698355,0.5098810709020576,0.008079858559987359,Prophet,False,mape,3|Andalucía|Ambos géneros,trimestral
Prophet,1.0490897049626422,0.5812522106524298,0.7138086247323602,0.01053661217533635,Prophet,False,mape,3|Andalucía|Hombres,trimestral
Prophet,0.8418653493065051,0.35901887125283416,0.4543336603664876,0.008413847463155242,Prophet,False,mape,3|Andalucía|Mujeres,trimestral
WindowAverage,0.3533919055050129,0.1896874999999998,0.24819268598208066,0.0035244797473058297,WindowAverage,False,mape,3|Aragón|Ambos géneros,trimestral
