modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
SeasonalNaive,0.8090398904826563,0.4775000000000009,0.5165994579942964,0.00806417563858984,SeasonalNaive,False,mape,3|Aragón|Hombres,trimestral
Prophet,0.729863398420019,0.3545368809362319,0.4340170283756564,0.007306272662261348,Prophet,False,mape,3|Aragón|Mujeres,trimestral
Prophet,1.1041113190973066,0.5745894275849306,0.6453513160249968,0.011000611258984936,Prophet,False,mape,3|Canarias|Ambos géneros,trimestral
RWD,1.1260467767088835,0.6422746289860921,0.7455139198395552,0.011305163986553877,RWD,False,mape,3|Canarias|Hombres,trimestral
AutoTheta,1.2923146027762278,0.6158214131122755,0.6887505211274291,0.012875212484053428,AutoTheta,False,mape,3|Canarias|Mujeres,trimestral
WindowAverage,0.9057938303814901,0.46406249999999893,0.5286055505998776,0.009039004674717549,WindowAverage,False,mape,3|Cantabria|Ambos géneros,trimestral
Naive,0.8126699761041802,0.4549999999999983,0.46459659921269164,0.008124999999999969,Naive,False,mape,3|Cantabria|Hombres,trimestral
AutoARIMA,0.8090952897570306,0.3786775815945802,0.42489136209894557,0.008053542781679716,AutoARIMA,False,mape,3|Cantabria|Mujeres,trimestral
AutoTheta,0.7310615895229992,0.3638588033698138,0.46640671590671734,0.007325155838136067,AutoETS,True,mape,3|Castilla y León|Ambos géneros,trimestral
SeasonalNaive,1.04891149840075,0.577499999999997,0.7978878367289458,0.010497614178595719,SeasonalNaive,False,mape,3|Castilla y León|Hombres,trimestral
AutoETS,0.6258542477360525,0.2781058337905584,0.31072093513045995,0.006243255893827779,AutoETS,False,mape,3|Castilla y León|Mujeres,trimestral
Prophet,0.519262143803723,0.2663960236755667,0.379053251005886,0.00517022850413521,Prophet,False,mape,3|Castilla-La Mancha|Ambos géneros,trimestral
Prophet,0.8488178367693181,0.49453490811163725,0.6406937445811874,0.008388345485737211,Prophet,False,mape,3|Castilla-La Mancha|Hombres,trimestral
Prophet,1.101806214363088,0.48418557578877497,0.5155714533648132,0.010991727032662315,Prophet,False,mape,3|Castilla-La Mancha|Mujeres,trimestral
AutoETS,0.9374193032004265,0.5303044220114561,0.5555887082671447,0.009388411472275048,AutoETS,False,mape,3|Cataluña|Ambos géneros,trimestral
AutoETS,1.0521408030645012,0.6443323075348886,0.6568018696003621,0.010542948662928719,AutoETS,False,mape,3|Cataluña|Hombres,trimestral
AutoETS,0.8414846891670914,0.4378723568505283,0.5389860978088004,0.008414554059102153,AutoETS,False,mape,3|Cataluña|Mujeres,trimestral
AutoTheta,6.090184556816405,2.93497733841399,3.354404037820229,0.061717534190179585,AutoARIMA,True,mape,3|Ceuta|Ambos géneros,trimestral
SeasonalNaive,5.355374317813841,3.0625000000000018,3.4444702059968533,0.05446380935443716,AutoETS,True,mape,3|Ceuta|Hombres,trimestral
AutoTheta,6.319972873622507,2.539932096622435,3.220105404306931,0.06555509347328518,AutoTheta,False,mape,3|Ceuta|Mujeres,trimestral
SeasonalNaive,1.0960446762062934,0.5924999999999994,0.625439845228939,0.010926694329183943,SeasonalNaive,False,mape,3|Comunidad Foral de Navarra|Ambos géneros,trimestral
SeasonalNaive,0.5919542948504228,0.35499999999999865,0.5084289527554466,0.005956375838926151,SeasonalNaive,False,mape,3|Comunidad Foral de Navarra|Hombres,trimestral
AutoTheta,2.229964513350766,1.0834269058940844,1.2786169500547702,0.02211526650120605,Prophet,True,mape,3|Comunidad Foral de Navarra|Mujeres,trimestral
AutoTheta,0.7378204958874041,0.43009239615003736,0.4831285044864626,0.0073740659434211285,AutoTheta,False,mape,3|Comunidad de Madrid|Ambos géneros,trimestral
Prophet,0.8932299859224214,0.557502431577122,0.652123189447559,0.008896552007933009,Prophet,False,mape,3|Comunidad de Madrid|Hombres,trimestral
AutoETS,0.6745326853492711,0.36693948762177797,0.40156766259909604,0.00674335178942898,AutoETS,False,mape,3|Comunidad de Madrid|Mujeres,trimestral
AutoTheta,0.5410041536316883,0.2818038392200677,0.32702123155479357,0.00539854098122735,AutoTheta,False,mape,3|Comunitat Valenciana|Ambos géneros,trimestral
