indicador_id,indicador,unidad,territorio_cod,territorio,genero,anyo,trimestre,periodo,periodicidad,t_index,valor,origen,fuente,flag_missing,flag_outlier,algoritmo,modelo_mape,modelo_mae,aplico_parsimonia
1,Tasa de paro,%,01,Andalucía,Hombres,2019,2.0,2019T2,trimestral,2019.25,17.67,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2019,3.0,2019T3,trimestral,2019.5,18.35,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2019,4.0,2019T4,trimestral,2019.75,17.82,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2020,1.0,2020T1,trimestral,2020.0,17.92,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2020,2.0,2020T2,trimestral,2020.25,18.4,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2020,3.0,2020T3,trimestral,2020.5,19.97,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2020,4.0,2020T4,trimestral,2020.75,18.98,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2021,1.0,2021T1,trimestral,2021.0,19.42,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2021,2.0,2021T2,trimestral,2021.25,18.57,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2021,3.0,2021T3,trimestral,2021.5,19.62,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2021,4.0,2021T4,trimestral,2021.75,17.42,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2022,1.0,2022T1,trimestral,2022.0,16.42,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2022,2.0,2022T2,trimestral,2022.25,15.8,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2022,3.0,2022T3,trimestral,2022.5,15.67,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2022,4.0,2022T4,trimestral,2022.75,16.57,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2023,1.0,2023T1,trimestral,2023.0,15.44,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2023,2.0,2023T2,trimestral,2023.25,15.54,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2023,3.0,2023T3,trimestral,2023.5,16.45,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2023,4.0,2023T4,trimestral,2023.75,15.09,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2024,1.0,2024T1,trimestral,2024.0,15.48,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2024,2.0,2024T2,trimestral,2024.25,13.73,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2024,3.0,2024T3,trimestral,2024.5,13.63,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2024,4.0,2024T4,trimestral,2024.75,13.73,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2025,1.0,2025T1,trimestral,2025.0,13.18,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2025,2.0,2025T2,trimestral,2025.25,12.85,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2025,3.0,2025T3,trimestral,2025.5,12.46,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2025,4.0,2025T4,trimestral,2025.75,12.24,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2026,1.0,2026T1,trimestral,2026.0,12.49,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2026,2.0,2026T2,trimestral,2026.25,12.27,proyeccion,INE · EPA,False,False,RWD,1.5102212448649133,0.18923113033332495,False
1,Tasa de paro,%,01,Andalucía,Hombres,2026,3.0,2026T3,trimestral,2026.5,12.049,proyeccion,INE · EPA,False,False,RWD,1.5102212448649133,0.18923113033332495,False
1,Tasa de paro,%,01,Andalucía,Hombres,2026,4.0,2026T4,trimestral,2026.75,11.829,proyeccion,INE · EPA,False,False,RWD,1.5102212448649133,0.18923113033332495,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2010,1.0,2010T1,trimestral,2010.0,27.63,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2010,2.0,2010T2,trimestral,2010.25,28.68,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2010,3.0,2010T3,trimestral,2010.5,30.42,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2010,4.0,2010T4,trimestral,2010.75,29.96,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2011,1.0,2011T1,trimestral,2011.0,31.4,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2011,2.0,2011T2,trimestral,2011.25,31.19,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2011,3.0,2011T3,trimestral,2011.5,32.61,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2011,4.0,2011T4,trimestral,2011.75,32.67,real,INE · EPA,False,False,Prophet,,,False
1,Tasa de paro,%,01,Andalucía,Mujeres,2012,1.0,2012T1,trimestral,2012.0,34.53,real,INE · EPA,False,False,Prophet,,,False
