comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
01 Andalucía;2019;total;9,478;18,386;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini;33,4;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;total;9,478;18,386;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini (con alquiler imputado);29,9;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2020;hombres;6,084;12,207;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20;5,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;hombres;6,084;12,207;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;hombres;6,084;12,207;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini;30,8;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;hombres;6,084;12,207;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini (con alquiler imputado);27,7;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;mujeres;12,684;21,677;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20;5,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;mujeres;12,684;21,677;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;mujeres;12,684;21,677;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini;30,8;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;mujeres;12,684;21,677;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini (con alquiler imputado);27,7;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;total;9,441;17,545;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20;5,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;total;9,441;17,545;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;total;9,441;17,545;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini;30,8;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2020;total;9,441;17,545;11,5;8,6;1.66;2.204;31,2;6;19;8,1;Gini (con alquiler imputado);27,7;1,63%;0,61%;0,21%;7,28%;5,24%;0,16%;1,79%;0,13%;0,30%;0,15%
01 Andalucía;2021;hombres;5,233;12,496;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20;6,8;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;hombres;5,233;12,496;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;hombres;5,233;12,496;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini;34,3;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;hombres;5,233;12,496;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini (con alquiler imputado);30,6;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;mujeres;10,275;22,216;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20;6,8;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;mujeres;10,275;22,216;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;mujeres;10,275;22,216;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini;34,3;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;mujeres;10,275;22,216;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini (con alquiler imputado);30,6;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;total;7,796;17,962;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20;6,8;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;total;7,796;17,962;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;total;7,796;17,962;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini;34,3;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2021;total;7,796;17,962;11,5;8,7;1.778;2.204;27,9;10,1;17;6,9;Gini (con alquiler imputado);30,6;1,59%;0,71%;0,23%;7,09%;5,15%;0,16%;1,61%;0,18%;0,16%;0,13%
01 Andalucía;2022;hombres;5,379395132;12,52606207;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20;6;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;hombres;5,379395132;12,52606207;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;hombres;5,379395132;12,52606207;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini;32,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;hombres;5,379395132;12,52606207;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini (con alquiler imputado);29,2;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;mujeres;10,70327612;21,71491452;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20;6;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;mujeres;10,70327612;21,71491452;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;mujeres;10,70327612;21,71491452;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini;32,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;mujeres;10,70327612;21,71491452;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini (con alquiler imputado);29,2;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;total;8,086952496;17,68878407;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20;6;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;total;8,086952496;17,68878407;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;total;8,086952496;17,68878407;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini;32,8;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
01 Andalucía;2022;total;8,086952496;17,68878407;11,5;9,4;1.891;2.204;29,7;9,4;16,3;7,6;Gini (con alquiler imputado);29,2;1,50%;0,50%;0,18%;6,85%;4,82%;0,16%;1,46%;0,11%;0,13%;0,12%
