comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
14 Región de Murcia;2022;hombres;9,794512584;9,127298405;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Gini (con alquiler imputado);26,7;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;mujeres;19,37355144;18,44738958;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Distribución de la renta S80/S20;5,2;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;mujeres;19,37355144;18,44738958;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;mujeres;19,37355144;18,44738958;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Gini;29,3;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;mujeres;19,37355144;18,44738958;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Gini (con alquiler imputado);26,7;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;total;14,56897279;14,33376349;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Distribución de la renta S80/S20;5,2;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;total;14,56897279;14,33376349;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;total;14,56897279;14,33376349;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Gini;29,3;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2022;total;14,56897279;14,33376349;8,6;7;1.08;1.786;25,4;8;12,3;4,5;Gini (con alquiler imputado);26,7;1,32%;0,26%;0,13%;6,16%;4,62%;0,06%;0,40%;0,22%;0,12%;0,04%
14 Región de Murcia;2023;hombres;10,03930123;8,553789699;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20;4,5;;;;;;;;;;
14 Región de Murcia;2023;hombres;10,03930123;8,553789699;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20 (alquiler imputado);3,9;;;;;;;;;;
14 Región de Murcia;2023;hombres;10,03930123;8,553789699;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini;28,3;;;;;;;;;;
14 Región de Murcia;2023;hombres;10,03930123;8,553789699;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini (con alquiler imputado);25,9;;;;;;;;;;
14 Región de Murcia;2023;mujeres;19,64222671;17,92608576;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20;4,5;;;;;;;;;;
14 Región de Murcia;2023;mujeres;19,64222671;17,92608576;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20 (alquiler imputado);3,9;;;;;;;;;;
14 Región de Murcia;2023;mujeres;19,64222671;17,92608576;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini;28,3;;;;;;;;;;
14 Región de Murcia;2023;mujeres;19,64222671;17,92608576;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini (con alquiler imputado);25,9;;;;;;;;;;
14 Región de Murcia;2023;total;14,83120118;13,77925958;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20;4,5;;;;;;;;;;
14 Región de Murcia;2023;total;14,83120118;13,77925958;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Distribución de la renta S80/S20 (alquiler imputado);3,9;;;;;;;;;;
14 Región de Murcia;2023;total;14,83120118;13,77925958;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini;28,3;;;;;;;;;;
14 Región de Murcia;2023;total;14,83120118;13,77925958;8,6;7,6;1.186;1.786;26,6;6;16,6;5,9;Gini (con alquiler imputado);25,9;;;;;;;;;;
15 Comunidad Foral de Navarra;2013;hombres;8,445;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20;4,5;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;hombres;8,445;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;hombres;8,445;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini;28,3;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;hombres;8,445;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini (con alquiler imputado);26,7;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;mujeres;17,527;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20;4,5;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;mujeres;17,527;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;mujeres;17,527;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini;28,3;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;mujeres;17,527;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini (con alquiler imputado);26,7;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;total;13,023;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20;4,5;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;total;13,023;;;;1.518;1.87;20,7;4,2;3,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;total;13,023;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini;28,3;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2013;total;13,023;;;;1.518;1.87;20,7;4,2;3,3;2,8;Gini (con alquiler imputado);26,7;1,35%;0,31%;0,41%;4,96%;3,25%;0,32%;0,53%;0,22%;0,05%;0,11%
15 Comunidad Foral de Navarra;2014;hombres;9,267;4,599;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20;4,9;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;hombres;9,267;4,599;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20 (alquiler imputado);4,2;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;hombres;9,267;4,599;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini;28,1;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;hombres;9,267;4,599;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini (con alquiler imputado);26,3;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;mujeres;18,602;8,866;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20;4,9;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;mujeres;18,602;8,866;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20 (alquiler imputado);4,2;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;mujeres;18,602;8,866;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini;28,1;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;mujeres;18,602;8,866;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini (con alquiler imputado);26,3;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;total;13,975;6,989;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20;4,9;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;total;13,975;6,989;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Distribución de la renta S80/S20 (alquiler imputado);4,2;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;total;13,975;6,989;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini;28,1;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2014;total;13,975;6,989;10,2;6,3;1.413;1.87;17,1;6,4;6,3;2,7;Gini (con alquiler imputado);26,3;1,35%;0,29%;0,35%;5,09%;3,22%;0,24%;0,45%;0,15%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;hombres;9,769;4,603;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20;4,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;hombres;9,769;4,603;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20 (alquiler imputado);3,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;hombres;9,769;4,603;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini;26,2;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;hombres;9,769;4,603;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini (con alquiler imputado);24,7;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;mujeres;19,343;9,413;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20;4,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;mujeres;19,343;9,413;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20 (alquiler imputado);3,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;mujeres;19,343;9,413;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini;26,2;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;mujeres;19,343;9,413;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini (con alquiler imputado);24,7;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;total;14,601;7,295;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20;4,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;total;14,601;7,295;;;1.384;1.87;21,8;5,7;5,9;1,1;Distribución de la renta S80/S20 (alquiler imputado);3,8;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;total;14,601;7,295;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini;26,2;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2015;total;14,601;7,295;;;1.384;1.87;21,8;5,7;5,9;1,1;Gini (con alquiler imputado);24,7;1,72%;0,27%;0,31%;5,13%;3,16%;0,24%;0,48%;0,16%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;hombres;10,475;4,495;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20;4,6;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;hombres;10,475;4,495;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;hombres;10,475;4,495;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini;27,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;hombres;10,475;4,495;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini (con alquiler imputado);25,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;mujeres;20,592;9,311;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20;4,6;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;mujeres;20,592;9,311;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;mujeres;20,592;9,311;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini;27,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;mujeres;20,592;9,311;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini (con alquiler imputado);25,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;total;15,585;7,187;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20;4,6;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;total;15,585;7,187;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;total;15,585;7,187;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini;27,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2016;total;15,585;7,187;11,3;6,6;1.408;1.87;18,4;7,6;5,5;1,9;Gini (con alquiler imputado);25,7;1,89%;0,25%;0,24%;5,22%;3,21%;0,24%;0,51%;0,13%;0,04%;0,10%
15 Comunidad Foral de Navarra;2017;hombres;10,642;4,941;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20;4,4;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;hombres;10,642;4,941;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20 (alquiler imputado);4,1;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;hombres;10,642;4,941;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini;26,5;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;hombres;10,642;4,941;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini (con alquiler imputado);24,9;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;mujeres;20,896;9,657;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20;4,4;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;mujeres;20,896;9,657;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20 (alquiler imputado);4,1;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;mujeres;20,896;9,657;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini;26,5;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;mujeres;20,896;9,657;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini (con alquiler imputado);24,9;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;total;15,83;7,578;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20;4,4;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;total;15,83;7,578;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Distribución de la renta S80/S20 (alquiler imputado);4,1;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;total;15,83;7,578;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini;26,5;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2017;total;15,83;7,578;11,3;7,7;1.382;1.87;4,7;4,6;2,2;0;Gini (con alquiler imputado);24,9;2,05%;0,28%;0,28%;5,30%;3,30%;0,26%;0,52%;0,11%;0,05%;0,10%
15 Comunidad Foral de Navarra;2018;hombres;10,995;4,732;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20;4,1;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;hombres;10,995;4,732;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20 (alquiler imputado);3,6;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;hombres;10,995;4,732;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini;24,7;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;hombres;10,995;4,732;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini (con alquiler imputado);23,3;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;mujeres;21,069;9,174;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20;4,1;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;mujeres;21,069;9,174;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20 (alquiler imputado);3,6;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;mujeres;21,069;9,174;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini;24,7;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;mujeres;21,069;9,174;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini (con alquiler imputado);23,3;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;total;16,095;7,21;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20;4,1;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;total;16,095;7,21;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Distribución de la renta S80/S20 (alquiler imputado);3,6;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;total;16,095;7,21;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini;24,7;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2018;total;16,095;7,21;10,2;7,7;1.405;1.87;19,7;4,3;10,3;2;Gini (con alquiler imputado);23,3;1,65%;0,28%;0,31%;5,26%;3,27%;0,30%;0,52%;0,15%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;hombres;11,203;5,495;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20;3,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;hombres;11,203;5,495;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20 (alquiler imputado);3,5;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;hombres;11,203;5,495;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini;24,3;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;hombres;11,203;5,495;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini (con alquiler imputado);22,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;mujeres;21,425;10,416;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20;3,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;mujeres;21,425;10,416;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20 (alquiler imputado);3,5;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;mujeres;21,425;10,416;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini;24,3;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;mujeres;21,425;10,416;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini (con alquiler imputado);22,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;total;16,371;8,235;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20;3,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;total;16,371;8,235;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Distribución de la renta S80/S20 (alquiler imputado);3,5;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;total;16,371;8,235;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini;24,3;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2019;total;16,371;8,235;14,5;10;1.427;1.87;13,6;4,9;6,9;2,7;Gini (con alquiler imputado);22,9;2,16%;0,26%;0,29%;5,18%;3,31%;0,30%;0,56%;0,10%;0,06%;0,09%
15 Comunidad Foral de Navarra;2020;hombres;11,406;4,894;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Distribución de la renta S80/S20;4,5;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
15 Comunidad Foral de Navarra;2020;hombres;11,406;4,894;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
15 Comunidad Foral de Navarra;2020;hombres;11,406;4,894;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Gini;27,3;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
15 Comunidad Foral de Navarra;2020;hombres;11,406;4,894;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Gini (con alquiler imputado);25,6;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
15 Comunidad Foral de Navarra;2020;mujeres;21,736;9,615;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Distribución de la renta S80/S20;4,5;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
15 Comunidad Foral de Navarra;2020;mujeres;21,736;9,615;10,2;8,7;1.451;1.87;17,8;7,1;11,4;6,6;Distribución de la renta S80/S20 (alquiler imputado);4,1;1,94%;0,30%;0,31%;6,12%;4,01%;0,32%;0,58%;0,12%;0,06%;0,10%
