comunidades_autónomas;periodo;género;trastornos
10 Comunidad Valenciana;2015;hombres;18,587
10 Comunidad Valenciana;2015;mujeres;33,463
10 Comunidad Valenciana;2015;total;26,145
10 Comunidad Valenciana;2016;hombres;19,89
10 Comunidad Valenciana;2016;mujeres;35,126
10 Comunidad Valenciana;2016;total;27,632
10 Comunidad Valenciana;2017;hombres;20,986
10 Comunidad Valenciana;2017;mujeres;36,568
10 Comunidad Valenciana;2017;total;28,905
10 Comunidad Valenciana;2018;hombres;21,751
10 Comunidad Valenciana;2018;mujeres;37,534
10 Comunidad Valenciana;2018;total;29,778
10 Comunidad Valenciana;2019;hombres;22,247
10 Comunidad Valenciana;2019;mujeres;38,28
10 Comunidad Valenciana;2019;total;30,404
10 Comunidad Valenciana;2020;hombres;22,819
10 Comunidad Valenciana;2020;mujeres;39,092
10 Comunidad Valenciana;2020;total;31,102
10 Comunidad Valenciana;2021;hombres;23,586
10 Comunidad Valenciana;2021;mujeres;40,083
10 Comunidad Valenciana;2021;total;31,982
10 Comunidad Valenciana;2022;hombres;24,20391294
10 Comunidad Valenciana;2022;mujeres;40,6900326
10 Comunidad Valenciana;2022;total;32,60013987
10 Comunidad Valenciana;2023;hombres;24,66383025
10 Comunidad Valenciana;2023;mujeres;41,0914545
10 Comunidad Valenciana;2023;total;33,03172157
00 Media Estatal;2013;hombres;7,287
00 Media Estatal;2013;mujeres;14,717
00 Media Estatal;2013;total;11,081
00 Media Estatal;2014;hombres;7,75
00 Media Estatal;2014;mujeres;15,47
00 Media Estatal;2014;total;11,694
00 Media Estatal;2015;hombres;7,929
00 Media Estatal;2015;mujeres;15,714
00 Media Estatal;2015;total;11,903
00 Media Estatal;2016;hombres;8,097
00 Media Estatal;2016;mujeres;15,933
00 Media Estatal;2016;total;12,096
00 Media Estatal;2017;hombres;8,774
00 Media Estatal;2017;mujeres;17,094
00 Media Estatal;2017;total;13,02
00 Media Estatal;2018;hombres;8,931
00 Media Estatal;2018;mujeres;17,091
00 Media Estatal;2018;total;13,095
00 Media Estatal;2019;hombres;11,049
00 Media Estatal;2019;mujeres;20,505
00 Media Estatal;2019;total;15,876
00 Media Estatal;2020;hombres;11,447
00 Media Estatal;2020;mujeres;21,134
00 Media Estatal;2020;total;16,391
00 Media Estatal;2021;hombres;11,702
00 Media Estatal;2021;mujeres;21,438
00 Media Estatal;2021;total;16,668
00 Media Estatal;2022;hombres;12,09195733
00 Media Estatal;2022;mujeres;22,04941958
00 Media Estatal;2022;total;17,17443462
00 Media Estatal;2023;hombres;12,66632146
00 Media Estatal;2023;mujeres;22,83712034
00 Media Estatal;2023;total;17,8597505
11 Extremadura;2013;hombres;1,33
11 Extremadura;2013;mujeres;3,581
11 Extremadura;2013;total;2,467
11 Extremadura;2014;hombres;1,577
11 Extremadura;2014;mujeres;4,014
11 Extremadura;2014;total;2,808
11 Extremadura;2015;hombres;1,832
11 Extremadura;2015;mujeres;4,589
11 Extremadura;2015;total;3,224
11 Extremadura;2016;hombres;2,035
11 Extremadura;2016;mujeres;5,017
11 Extremadura;2016;total;3,54
11 Extremadura;2017;hombres;2,324
11 Extremadura;2017;mujeres;5,682
11 Extremadura;2017;total;4,019
11 Extremadura;2018;hombres;2,595
11 Extremadura;2018;mujeres;5,931
11 Extremadura;2018;total;4,279
11 Extremadura;2019;hombres;2,698
11 Extremadura;2019;mujeres;6,245
11 Extremadura;2019;total;4,493
11 Extremadura;2020;hombres;2,883
11 Extremadura;2020;mujeres;6,689
11 Extremadura;2020;total;4,81
