Comunidades autónomas;Periodo;precio
13 Comunidad de Madrid;2025;19,1
13 Comunidad de Madrid;2024;18,1
13 Comunidad de Madrid;2023;16,2
13 Comunidad de Madrid;2022;14,5
13 Comunidad de Madrid;2021;13,3
13 Comunidad de Madrid;2020;13,9
13 Comunidad de Madrid;2019;11,4
13 Comunidad de Madrid;2018;13,8
13 Comunidad de Madrid;2017;12,7
13 Comunidad de Madrid;2016;11,6
13 Comunidad de Madrid;2015;10,5
13 Comunidad de Madrid;2014;10
13 Comunidad de Madrid;2013;9,8
13 Comunidad de Madrid;2012;10,1
13 Comunidad de Madrid;2011;10,8
13 Comunidad de Madrid;2010;11
13 Comunidad de Madrid;2009;11,1
13 Comunidad de Madrid;2008;11,2
13 Comunidad de Madrid;2007;10,7
13 Comunidad de Madrid;2006;
14 Región de Murcia;2025;8,3
14 Región de Murcia;2024;8,6
14 Región de Murcia;2023;7,6
14 Región de Murcia;2022;7
14 Región de Murcia;2021;6,5
14 Región de Murcia;2020;6,4
14 Región de Murcia;2019;7,6
14 Región de Murcia;2018;5,7
14 Región de Murcia;2017;5,3
14 Región de Murcia;2016;5
14 Región de Murcia;2015;4,9
14 Región de Murcia;2014;4,8
14 Región de Murcia;2013;5
14 Región de Murcia;2012;5,3
14 Región de Murcia;2011;5,6
14 Región de Murcia;2010;5,4
14 Región de Murcia;2009;5,8
14 Región de Murcia;2008;6,3
14 Región de Murcia;2007;6,8
14 Región de Murcia;2006;
15 Comunidad Foral de Navarra;2025;10,5
15 Comunidad Foral de Navarra;2024;10
15 Comunidad Foral de Navarra;2023;9,8
15 Comunidad Foral de Navarra;2022;9,3
15 Comunidad Foral de Navarra;2021;9
15 Comunidad Foral de Navarra;2020;8,7
15 Comunidad Foral de Navarra;2019;10
15 Comunidad Foral de Navarra;2018;7,7
15 Comunidad Foral de Navarra;2017;7,7
15 Comunidad Foral de Navarra;2016;6,6
15 Comunidad Foral de Navarra;2015;
15 Comunidad Foral de Navarra;2014;6,3
15 Comunidad Foral de Navarra;2013;
15 Comunidad Foral de Navarra;2012;6,8
15 Comunidad Foral de Navarra;2011;7,3
15 Comunidad Foral de Navarra;2010;6,6
15 Comunidad Foral de Navarra;2009;
15 Comunidad Foral de Navarra;2008;
15 Comunidad Foral de Navarra;2007;
15 Comunidad Foral de Navarra;2006;
16 País Vasco;2025;14,4
16 País Vasco;2024;13,9
16 País Vasco;2023;13,2
16 País Vasco;2022;12,5
16 País Vasco;2021;12
16 País Vasco;2020;12,2
16 País Vasco;2019;11,7
16 País Vasco;2018;11,2
16 País Vasco;2017;10,8
16 País Vasco;2016;10,2
16 País Vasco;2015;9,7
16 País Vasco;2014;9,9
16 País Vasco;2013;9,9
16 País Vasco;2012;10,4
16 País Vasco;2011;11,2
16 País Vasco;2010;10,7
16 País Vasco;2009;
16 País Vasco;2008;
16 País Vasco;2007;
16 País Vasco;2006;
17 La Rioja;2025;8,4
17 La Rioja;2024;8
17 La Rioja;2023;7,7
17 La Rioja;2022;7,2
17 La Rioja;2021;6,8
17 La Rioja;2020;6,6
17 La Rioja;2019;8
17 La Rioja;2018;6
17 La Rioja;2017;5,5
17 La Rioja;2016;5,2
17 La Rioja;2015;5,1
17 La Rioja;2014;5,1
17 La Rioja;2013;5,2
17 La Rioja;2012;5,8
17 La Rioja;2011;6
17 La Rioja;2010;6,5
17 La Rioja;2009;
17 La Rioja;2008;
17 La Rioja;2007;
17 La Rioja;2006;
18 Ceuta;2025;
18 Ceuta;2024;
18 Ceuta;2023;
18 Ceuta;2022;
18 Ceuta;2021;
18 Ceuta;2020;
18 Ceuta;2019;
18 Ceuta;2018;
18 Ceuta;2017;
18 Ceuta;2016;8,9
18 Ceuta;2015;10
18 Ceuta;2014;9,4
18 Ceuta;2013;9,9
18 Ceuta;2012;10,8
18 Ceuta;2011;10,9
18 Ceuta;2010;
18 Ceuta;2009;
18 Ceuta;2008;
18 Ceuta;2007;
18 Ceuta;2006;
19 Melilla;2025;10
19 Melilla;2024;10,4
19 Melilla;2023;9,6
19 Melilla;2022;9,2
19 Melilla;2021;9
19 Melilla;2020;8,5
19 Melilla;2019;
19 Melilla;2018;8,5
19 Melilla;2017;8,5
19 Melilla;2016;8,2
19 Melilla;2015;
19 Melilla;2014;8,1
19 Melilla;2013;9,1
19 Melilla;2012;
19 Melilla;2011;
19 Melilla;2010;
19 Melilla;2009;
19 Melilla;2008;
19 Melilla;2007;
19 Melilla;2006;
00 Media estatal;2007;8,6
00 Media estatal;2008;8
00 Media estatal;2010;7,8
00 Media estatal;2011;8,1
00 Media estatal;2012;7,5
