ccaa;solicitudes;periodo
Canarias;76190;2025-03
Cantabria;23289;2025-03
Castilla y León;160539;2025-03
Castilla-La Mancha;101607;2025-03
Cataluña;392480;2025-03
Comunidad Valenciana;220547;2025-03
Extremadura;60140;2025-03
Galicia;85856;2025-03
Comunidad de Madrid;265363;2025-03
Región de Murcia;68449;2025-03
Comunidad Foral de Navarra;20777;2025-03
País Vasco;118146;2025-03
La Rioja;14811;2025-03
Ceuta y Melilla;5712;2025-03
Andalucía;424084;2025-04
Aragón;58693;2025-04
Principado de Asturias;52063;2025-04
Islas Baleares;47287;2025-04
Canarias;76325;2025-04
Cantabria;23380;2025-04
Castilla y León;161076;2025-04
Castilla-La Mancha;102256;2025-04
Cataluña;395271;2025-04
Comunidad Valenciana;226297;2025-04
Extremadura;60562;2025-04
Galicia;87481;2025-04
Comunidad de Madrid;266456;2025-04
Región de Murcia;69263;2025-04
Comunidad Foral de Navarra;20737;2025-04
País Vasco;118843;2025-04
La Rioja;14818;2025-04
Ceuta y Melilla;5735;2025-04
Andalucía;425258;2025-05
Aragón;59191;2025-05
Principado de Asturias;52296;2025-05
Islas Baleares;47828;2025-05
Canarias;76588;2025-05
Cantabria;23494;2025-05
Castilla y León;161324;2025-05
Castilla-La Mancha;102491;2025-05
Cataluña;398610;2025-05
Comunidad Valenciana;227362;2025-05
Extremadura;60774;2025-05
Galicia;89575;2025-05
Comunidad de Madrid;267532;2025-05
Región de Murcia;70173;2025-05
Comunidad Foral de Navarra;23582;2025-05
País Vasco;119085;2025-05
La Rioja;14780;2025-05
Ceuta y Melilla;5774;2025-05
Andalucía;426018;2025-06
Aragón;59558;2025-06
Principado de Asturias;52409;2025-06
Islas Baleares;48429;2025-06
Canarias;76437;2025-06
Cantabria;23596;2025-06
Castilla y León;161329;2025-06
Castilla-La Mancha;103096;2025-06
Cataluña;402234;2025-06
Comunidad Valenciana;228620;2025-06
Extremadura;60597;2025-06
Galicia;91845;2025-06
Comunidad de Madrid;269409;2025-06
Región de Murcia;71161;2025-06
Comunidad Foral de Navarra;23712;2025-06
País Vasco;120058;2025-06
La Rioja;14836;2025-06
Ceuta y Melilla;5805;2025-06
Andalucía;427150;2025-07
Aragón;60062;2025-07
Principado de Asturias;51908;2025-07
Islas Baleares;48867;2025-07
Canarias;77426;2025-07
Cantabria;23465;2025-07
Castilla y León;161127;2025-07
Castilla-La Mancha;104099;2025-07
Cataluña;407365;2025-07
Comunidad Valenciana;229150;2025-07
Extremadura;60633;2025-07
Galicia;93011;2025-07
Comunidad de Madrid;270988;2025-07
Región de Murcia;72039;2025-07
Comunidad Foral de Navarra;23698;2025-07
País Vasco;120340;2025-07
La Rioja;14782;2025-07
Ceuta y Melilla;5863;2025-07
Andalucía;429699;2025-08
Aragón;60137;2025-08
Principado de Asturias;51290;2025-08
Islas Baleares;49300;2025-08
Canarias;77796;2025-08
Cantabria;23683;2025-08
Castilla y León;161372;2025-08
Castilla-La Mancha;104263;2025-08
Cataluña;409358;2025-08
Comunidad Valenciana;228773;2025-08
Extremadura;60681;2025-08
Galicia;94599;2025-08
Comunidad de Madrid;272026;2025-08
Región de Murcia;72177;2025-08
Comunidad Foral de Navarra;23731;2025-08
País Vasco;120133;2025-08
La Rioja;14720;2025-08
Ceuta y Melilla;5854;2025-08
Andalucía;430507;2025-09
Aragón;60372;2025-09
Principado de Asturias;50778;2025-09
Islas Baleares;49903;2025-09
Canarias;78043;2025-09
Cantabria;23666;2025-09
Castilla y León;161623;2025-09
Castilla-La Mancha;103929;2025-09
Cataluña;411492;2025-09
Comunidad Valenciana;232662;2025-09
Extremadura;60913;2025-09
Galicia;95826;2025-09
Comunidad de Madrid;274638;2025-09
Región de Murcia;73141;2025-09
Comunidad Foral de Navarra;23677;2025-09
País Vasco;120805;2025-09
La Rioja;14704;2025-09
Ceuta y Melilla;5886;2025-09
Andalucía;437319;2025-10
Aragón;60843;2025-10
Principado de Asturias;50819;2025-10
Islas Baleares;50307;2025-10
Canarias;78559;2025-10
Cantabria;23614;2025-10
Castilla y León;162195;2025-10
Castilla-La Mancha;103813;2025-10
Cataluña;415244;2025-10
Comunidad Valenciana;233083;2025-10
Extremadura;61690;2025-10
Galicia;97778;2025-10
Comunidad de Madrid;277217;2025-10
Región de Murcia;74140;2025-10
Comunidad Foral de Navarra;23753;2025-10
País Vasco;121300;2025-10
La Rioja;14923;2025-10
Ceuta y Melilla;5900;2025-10
Andalucía;446477;2025-11
Aragón;61070;2025-11
Principado de Asturias;50331;2025-11
Islas Baleares;50514;2025-11
Canarias;78692;2025-11
Cantabria;23973;2025-11
Castilla y León;162549;2025-11
Castilla-La Mancha;103200;2025-11
Cataluña;418807;2025-11
Comunidad Valenciana;236880;2025-11
Extremadura;62199;2025-11
Galicia;99310;2025-11
Comunidad de Madrid;277873;2025-11
Región de Murcia;74523;2025-11
Comunidad Foral de Navarra;24172;2025-11
País Vasco;121661;2025-11
La Rioja;15053;2025-11
Ceuta y Melilla;5917;2025-11
Andalucía;456133;2025-12
Aragón;61425;2025-12
Principado de Asturias;50073;2025-12
Islas Baleares;50646;2025-12
Canarias;79243;2025-12
Cantabria;23795;2025-12
Castilla y León;162682;2025-12
Castilla-La Mancha;104062;2025-12
Cataluña;419673;2025-12
Comunidad Valenciana;236730;2025-12
Extremadura;62130;2025-12
Galicia;100525;2025-12
Comunidad de Madrid;277807;2025-12
Región de Murcia;74588;2025-12
Comunidad Foral de Navarra;24200;2025-12
País Vasco;121716;2025-12
La Rioja;14974;2025-12
Ceuta y Melilla;5913;2025-12
Andalucía;459849;2026-01
Aragón;61572;2026-01
Principado de Asturias;49590;2026-01
Islas Baleares;50711;2026-01
Canarias;82033;2026-01
Cantabria;23419;2026-01
Castilla y León;161835;2026-01
Castilla-La Mancha;104072;2026-01
Cataluña;420773;2026-01
Comunidad Valenciana;235704;2026-01
Extremadura;61911;2026-01
Galicia;99635;2026-01
Comunidad de Madrid;280628;2026-01
Región de Murcia;74450;2026-01
Comunidad Foral de Navarra;23997;2026-01
País Vasco;121274;2026-01
La Rioja;15002;2026-01
Ceuta y Melilla;5917;2026-01
