ccaa;solicitudes;periodo
Principado de Asturias;33375;2016-01
Islas Baleares;23682;2016-01
Canarias;42221;2016-01
Cantabria;23028;2016-01
Castilla y León;112834;2016-01
Castilla-La Mancha;84461;2016-01
Cataluña;280641;2016-01
Comunidad Valenciana;106597;2016-01
Extremadura;51740;2016-01
Galicia;79107;2016-01
Comunidad de Madrid;178193;2016-01
Región de Murcia;44905;2016-01
Comunidad Foral de Navarra;17342;2016-01
País Vasco;92741;2016-01
Ceuta y Melilla;4009;2016-01
Andalucía;375649;2016-02
Aragón;42918;2016-02
Principado de Asturias;33325;2016-02
Islas Baleares;23902;2016-02
Canarias;42110;2016-02
Cantabria;22800;2016-02
Castilla y León;113969;2016-02
Castilla-La Mancha;83616;2016-02
Cataluña;280853;2016-02
Comunidad Valenciana;105431;2016-02
Extremadura;51822;2016-02
Galicia;79111;2016-02
Comunidad de Madrid;176501;2016-02
Región de Murcia;44779;2016-02
Comunidad Foral de Navarra;17323;2016-02
País Vasco;92404;2016-02
Ceuta y Melilla;3969;2016-02
Andalucía;376308;2016-03
Aragón;43092;2016-03
Principado de Asturias;33578;2016-03
Islas Baleares;24241;2016-03
Canarias;42383;2016-03
Cantabria;22665;2016-03
Castilla y León;115266;2016-03
Castilla-La Mancha;83727;2016-03
Cataluña;282875;2016-03
Comunidad Valenciana;105197;2016-03
Extremadura;52104;2016-03
Galicia;79168;2016-03
Comunidad de Madrid;176085;2016-03
Región de Murcia;45097;2016-03
Comunidad Foral de Navarra;17277;2016-03
País Vasco;93577;2016-03
Ceuta y Melilla;3940;2016-03
Andalucía;377115;2016-04
Aragón;42890;2016-04
Principado de Asturias;33928;2016-04
Islas Baleares;24512;2016-04
Canarias;42264;2016-04
Cantabria;22691;2016-04
Castilla y León;115895;2016-04
Castilla-La Mancha;83879;2016-04
Cataluña;283971;2016-04
Comunidad Valenciana;104736;2016-04
Extremadura;52333;2016-04
Galicia;78977;2016-04
Comunidad de Madrid;174933;2016-04
Región de Murcia;45115;2016-04
Comunidad Foral de Navarra;17359;2016-04
País Vasco;93843;2016-04
Ceuta y Melilla;3971;2016-04
Andalucía;377001;2016-05
Aragón;42772;2016-05
Principado de Asturias;33980;2016-05
Islas Baleares;24479;2016-05
Canarias;42359;2016-05
Cantabria;22621;2016-05
Castilla y León;117054;2016-05
Castilla-La Mancha;83707;2016-05
Cataluña;284172;2016-05
Comunidad Valenciana;103822;2016-05
Extremadura;52409;2016-05
Galicia;78777;2016-05
Comunidad de Madrid;173920;2016-05
Región de Murcia;43971;2016-05
Comunidad Foral de Navarra;17209;2016-05
País Vasco;93600;2016-05
Ceuta y Melilla;3971;2016-05
Andalucía;377692;2016-06
Aragón;42791;2016-06
Principado de Asturias;34096;2016-06
Islas Baleares;24311;2016-06
Canarias;42665;2016-06
Cantabria;22456;2016-06
Castilla y León;117080;2016-06
Castilla-La Mancha;83988;2016-06
Cataluña;284458;2016-06
Comunidad Valenciana;102977;2016-06
Extremadura;52511;2016-06
Galicia;79630;2016-06
Comunidad de Madrid;174560;2016-06
Región de Murcia;43416;2016-06
Comunidad Foral de Navarra;17396;2016-06
País Vasco;93483;2016-06
Ceuta y Melilla;3935;2016-06
Andalucía;377653;2016-07
Aragón;43843;2016-07
Principado de Asturias;34422;2016-07
Islas Baleares;24472;2016-07
Canarias;42890;2016-07
Cantabria;22247;2016-07
Castilla y León;117124;2016-07
Castilla-La Mancha;84175;2016-07
Cataluña;286557;2016-07
Comunidad Valenciana;102641;2016-07
Extremadura;52928;2016-07
Galicia;79122;2016-07
Comunidad de Madrid;174298;2016-07
Región de Murcia;43788;2016-07
Comunidad Foral de Navarra;17364;2016-07
País Vasco;95034;2016-07
Ceuta y Melilla;3955;2016-07
Andalucía;377021;2016-08
Aragón;44489;2016-08
Principado de Asturias;34575;2016-08
Islas Baleares;24574;2016-08
Canarias;42936;2016-08
Cantabria;22091;2016-08
Castilla y León;117464;2016-08
Castilla-La Mancha;83970;2016-08
Cataluña;287256;2016-08
Comunidad Valenciana;101823;2016-08
Extremadura;52852;2016-08
Galicia;78874;2016-08
Comunidad de Madrid;173896;2016-08
Región de Murcia;44248;2016-08
Comunidad Foral de Navarra;17497;2016-08
País Vasco;95609;2016-08
Ceuta y Melilla;3955;2016-08
Andalucía;377581;2016-09
Aragón;44484;2016-09
Principado de Asturias;34583;2016-09
Islas Baleares;24674;2016-09
Canarias;43072;2016-09
Cantabria;21817;2016-09
Castilla y León;117562;2016-09
Castilla-La Mancha;84101;2016-09
Cataluña;287398;2016-09
Comunidad Valenciana;101239;2016-09
Extremadura;52762;2016-09
Galicia;78608;2016-09
Comunidad de Madrid;172174;2016-09
Región de Murcia;43252;2016-09
Comunidad Foral de Navarra;17575;2016-09
País Vasco;95579;2016-09
Ceuta y Melilla;3948;2016-09
Andalucía;378711;2016-10
Aragón;44848;2016-10
Principado de Asturias;34841;2016-10
Islas Baleares;24893;2016-10
Canarias;43086;2016-10
Cantabria;21615;2016-10
Castilla y León;117090;2016-10
Castilla-La Mancha;84334;2016-10
Cataluña;288693;2016-10
Comunidad Valenciana;101089;2016-10
Extremadura;52866;2016-10
Galicia;79215;2016-10
Comunidad de Madrid;171729;2016-10
Región de Murcia;42850;2016-10
Comunidad Foral de Navarra;17944;2016-10
País Vasco;95816;2016-10
Ceuta y Melilla;3978;2016-10
Andalucía;380282;2016-11
Aragón;44972;2016-11
Principado de Asturias;35116;2016-11
Islas Baleares;25071;2016-11
Canarias;42913;2016-11
Cantabria;21421;2016-11
Castilla y León;117079;2016-11
Castilla-La Mancha;85212;2016-11
Cataluña;288070;2016-11
Comunidad Valenciana;100610;2016-11
Extremadura;52925;2016-11
Galicia;79368;2016-11
Comunidad de Madrid;170671;2016-11
Región de Murcia;43138;2016-11
Comunidad Foral de Navarra;18224;2016-11
