horas;grado I;grado II;grado III;total;servicio;fecha
De 16 a 20;4,75488924938036e-01;1,28994778616123e-02;2,24802911634965e-02;0,213319049615219414;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 21 a 30;6,38331232699927e-02;1,74671388776124e-01;1,27782707666191e-01;0,117677653744042002;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 31 a 45;3,26251485017157e-03;7,02059157019472e-01;2,33290893424386e-02;0,265648692988039947;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 46 a 55;5,84961072951279e-04;4,12881280008959e-02;1,12285710611263e-01;0,038108028381126861;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 56 a 65;9,28701084891722e-04;8,95894284474432e-04;1,01881502629988e-01;0,021228917283816439;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 66 a 70;2,17098954909753e-04;5,52934753699063e-04;5,43951026917191e-01;0,109743979878588402;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
71 o más;2,27350850002714e-03;5,29837479177457e-03;4,93974818987358e-02;0,012873459713187081;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
Menos de 5;3,12331475822398e-03;1,77081505352328e-03;1,06573002506717e-03;0,002181266301893401;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 5 a 10;4,36222961231949e-01;1,56900595057671e-02;6,09417450953903e-03;0,186218698060516302;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
De 11 a 15;9,84780394271676e-02;5,47835936378284e-02;1,48451689407244e-02;0,064531688269395607;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-03-31
