"ccaa","periodo","genero","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib"
"Comunidad de Madrid",2020,"total",3.6491,8066704298,221061932000,"real"
"Comunidad de Madrid",2021,"total",3.3634,8066704298,239837609000,"real"
"Comunidad de Madrid",2022,"total",3.2787,8759661476,267171570000,"real"
"Comunidad de Madrid",2023,"total",2.9599,8759661476,295939562000,"real"
"Comunidad de Madrid",2024,"total",3.2297,10211960772,316193370000,"real"
"Comunidad de Madrid",2025,"total",3.1871,10542858597,330794990991.154,"proyeccion"
"Comunidad de Madrid",2026,"total",3.1096,11093460615,356751462437.704,"proyeccion"
"Región de Murcia",2015,"total",6.375,1859495700,29168718000,"real"
"Región de Murcia",2016,"total",6.5279,1958971130,30009138000,"real"
"Región de Murcia",2017,"total",6.4146,2000860733,31192490000,"real"
"Región de Murcia",2018,"total",6.6983,2124384788,31715345000,"real"
"Región de Murcia",2019,"total",6.6317,2188488008,33000651000,"real"
"Región de Murcia",2020,"total",7.2385,2203429680,30440306000,"real"
"Región de Murcia",2021,"total",7.4013,2487112377,33603543000,"real"
"Región de Murcia",2022,"total",6.7683,2530062207,37380806000,"real"
"Región de Murcia",2023,"total",6.6798,2661157290,39838741000,"real"
"Región de Murcia",2024,"total",6.7016,2847362340,42488024000,"real"
"Región de Murcia",2025,"total",6.7231,2972286524,44209906961.5551,"proyeccion"
"Región de Murcia",2026,"total",6.3757,2972286524,46619073818.1298,"proyeccion"
"Comunidad Foral de Navarra",2015,"total",4.9354,904884244,18334417000,"real"
"Comunidad Foral de Navarra",2016,"total",5.025,950290485,18911331000,"real"
"Comunidad Foral de Navarra",2017,"total",5.1075,1006123754,19698794000,"real"
"Comunidad Foral de Navarra",2018,"total",5.0633,1024602853,20235995000,"real"
"Comunidad Foral de Navarra",2019,"total",4.9726,1047750152,21070268000,"real"
"Comunidad Foral de Navarra",2020,"total",5.8569,1122231413,19160726000,"real"
"Comunidad Foral de Navarra",2021,"total",5.8179,1211356190,20821017000,"real"
"Comunidad Foral de Navarra",2022,"total",5.248,1217768301,23204474000,"real"
"Comunidad Foral de Navarra",2023,"total",5.1484,1285836840,24975376000,"real"
"Comunidad Foral de Navarra",2024,"total",5.3171,1415375379,26619297000,"real"
"Comunidad Foral de Navarra",2025,"total",5.2658,1460097315,27727717738.525,"proyeccion"
"Comunidad Foral de Navarra",2026,"total",5.106,1508379759,29541097405.4703,"proyeccion"
"País Vasco",2015,"total",5.2017,3384908174,65073341000,"real"
"País Vasco",2016,"total",5.0908,3416697951,67114993000,"real"
"País Vasco",2017,"total",5.0846,3538134644,69585295000,"real"
"País Vasco",2018,"total",5.1069,3672658495,71915111000,"real"
"País Vasco",2019,"total",5.1291,3795519108,73999981000,"real"
"País Vasco",2020,"total",5.9077,3938835835,66672598000,"real"
"País Vasco",2021,"total",5.5018,3989532488,72513029000,"real"
"País Vasco",2022,"total",5.2189,4186527007,80218167000,"real"
"País Vasco",2023,"total",5.3361,4628962720,86748107000,"real"
"País Vasco",2024,"total",5.3364,4888865872,91612735000,"real"
"País Vasco",2025,"total",5.3762,5106543104,94984725555.0161,"proyeccion"
"País Vasco",2026,"total",5.3005,5317027591,100311243579.291,"proyeccion"
