ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Región de Murcia;2024-05-01;9620;4704
Comunidad Foral de Navarra;2024-05-01;84;82
País Vasco;2024-05-01;171;158
La Rioja;2024-05-01;19;10
Ceuta y Melilla;2024-05-01;208;40
Castilla y León;2024-05-01;NA;NA
Andalucía;2024-06-01;30448;29831
Aragón;2024-06-01;6899;1025
Principado de Asturias;2024-06-01;7703;3204
Islas Baleares;2024-06-01;2548;1061
Canarias;2024-06-01;14275;10047
Cantabria;2024-06-01;867;738
Castilla y León;2024-06-01;6959;642
Castilla-La Mancha;2024-06-01;3513;394
Cataluña;2024-06-01;30000;4766
Comunidad Valenciana;2024-06-01;13844;7795
Extremadura;2024-06-01;2281;238
Galicia;2024-06-01;249;244
Comunidad de Madrid;2024-06-01;376;350
Región de Murcia;2024-06-01;9216;4228
Comunidad Foral de Navarra;2024-06-01;84;82
País Vasco;2024-06-01;156;151
La Rioja;2024-06-01;28;13
Ceuta y Melilla;2024-06-01;204;38
Castilla y León;2024-06-01;NA;NA
Andalucía;2024-07-01;36523;36112
Aragón;2024-07-01;6626;911
Principado de Asturias;2024-07-01;7962;3110
Islas Baleares;2024-07-01;2356;1038
Canarias;2024-07-01;15482;9981
Cantabria;2024-07-01;897;756
Castilla y León;2024-07-01;6404;730
Castilla-La Mancha;2024-07-01;2724;256
Cataluña;2024-07-01;30432;4825
Comunidad Valenciana;2024-07-01;17647;8717
Extremadura;2024-07-01;2140;235
Galicia;2024-07-01;245;237
Comunidad de Madrid;2024-07-01;808;562
Región de Murcia;2024-07-01;8752;4244
Comunidad Foral de Navarra;2024-07-01;77;76
País Vasco;2024-07-01;275;155
La Rioja;2024-07-01;54;20
Ceuta y Melilla;2024-07-01;208;38
Castilla y León;2024-07-01;NA;NA
Andalucía;2024-08-01;29637;29479
Aragón;2024-08-01;6183;1002
Principado de Asturias;2024-08-01;8523;3767
Islas Baleares;2024-08-01;2399;1094
Canarias;2024-08-01;16350;10391
Cantabria;2024-08-01;908;774
Castilla y León;2024-08-01;6176;1230
Castilla-La Mancha;2024-08-01;2681;453
Cataluña;2024-08-01;32185;6214
Comunidad Valenciana;2024-08-01;16757;9831
Extremadura;2024-08-01;1798;262
Galicia;2024-08-01;225;223
Comunidad de Madrid;2024-08-01;614;510
Región de Murcia;2024-08-01;8780;5522
