ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Comunidad Valenciana;2023-11-01;144169;1425;46445;5169;9099;13965;22593;98115;517;197328;1,36872698014136
Extremadura;2023-11-01;35080;1361;5518;989;2248;4974;18818;6463;0;40371;1,15082668187001
Galicia;2023-11-01;73482;5920;9561;25540;8755;7085;14864;17497;128;89350;1,21594404071745
Comunidad de Madrid;2023-11-01;176545;5047;72041;50519;17572;24518;25958;45630;84;241369;1,36718117193917
Región de Murcia;2023-11-01;40250;4022;8578;3133;4089;5192;1164;24059;3;50240;1,24819875776398
Comunidad Foral de Navarra;2023-11-01;16064;1987;3177;1039;680;2494;2850;9737;33;21997;1,36933515936255
País Vasco;2023-11-01;67169;905;23759;5707;7549;13114;1401;34508;6850;93793;1,39637332698120
La Rioja;2023-11-01;9144;1087;3596;3817;1326;1964;861;1239;0;13890;1,51902887139108
Ceuta y Melilla;2023-11-01;3379;600;732;1179;66;195;4;1729;0;4505;1,33323468481799
Andalucía;2023-12-01;286600;665;133935;155969;14657;28704;4940;82380;11;421261;1,46985694347523
Aragón;2023-12-01;40334;3868;8216;5375;1758;4133;8376;20162;0;51888;1,28645807507314
Principado de Asturias;2023-12-01;31214;7677;3132;7353;2284;3778;4558;11405;20;40207;1,28810790030115
Islas Baleares;2023-12-01;29233;4333;14385;2043;1627;2924;803;21864;0;47979;1,64126158793145
Canarias;2023-12-01;40697;1510;2559;708;5645;4888;13962;16685;0;45957;1,12924785610733
Cantabria;2023-12-01;17166;6337;3356;1461;1969;4598;163;8963;0;26847;1,56396364907375
Castilla y León;2023-12-01;122589;13642;27772;22630;8048;8506;52862;32859;2272;168591;1,37525389716859
Castilla-La Mancha;2023-12-01;72357;8845;28921;15805;3594;12184;10632;17260;22;97263;1,34420995895352
Cataluña;2023-12-01;201720;144;27632;33868;13812;38435;23850;107622;98;245461;1,21684017449931
Comunidad Valenciana;2023-12-01;146290;1429;50334;5270;9103;14019;22453;97295;526;200429;1,37007997812564
Extremadura;2023-12-01;35293;1417;5683;985;2249;5021;18968;6420;0;40743;1,15442155668263
Galicia;2023-12-01;73691;5977;9655;25476;8818;7048;14942;17655;133;89704;1,21729926313933
Comunidad de Madrid;2023-12-01;177795;5208;71764;51235;17598;24585;27416;45947;83;243836;1,37144464130037
Región de Murcia;2023-12-01;40484;3989;8748;3103;4085;5165;1283;24175;3;50551;1,24866613970951
Comunidad Foral de Navarra;2023-12-01;16142;2012;3211;1053;693;2499;2880;9770;36;22154;1,37244455457812
País Vasco;2023-12-01;67674;934;24014;5817;7570;13158;1419;34796;6950;94658;1,39873511245087
La Rioja;2023-12-01;9180;1094;3620;3804;1339;1977;892;1231;0;13957;1,52037037037037
Ceuta y Melilla;2023-12-01;3407;616;740;1197;68;195;4;1745;0;4565;1,33988846492515
Andalucía;2024-01-01;286206;655;134040;156018;14714;28739;4813;82193;11;421183;1,47160786286800
Aragón;2024-01-01;40178;3928;8153;5345;1763;4121;8268;20178;0;51756;1,28816765393997
Principado de Asturias;2024-01-01;31210;7614;3322;7324;2285;3738;4594;11457;21;40355;1,29301505927587
Islas Baleares;2024-01-01;29190;4386;14327;2028;1635;2910;749;21861;0;47896;1,64083590270641
Canarias;2024-01-01;40949;1551;2532;702;5631;4858;14091;16878;0;46243;1,12928276636792
Cantabria;2024-01-01;17076;6226;3351;1442;1950;4503;160;9004;0;26636;1,55985008198641
Castilla y León;2024-01-01;122895;13579;28620;22451;8030;8454;53153;33132;2284;169703;1,38087798527198
Castilla-La Mancha;2024-01-01;72052;8883;28714;15780;3597;12216;10423;17219;22;96854;1,34422361627713
Cataluña;2024-01-01;202557;99;27966;33839;13796;37984;24099;108774;99;246656;1,21771155773437
Comunidad Valenciana;2024-01-01;144001;1437;54862;5187;9149;13525;22027;96415;526;203128;1,41060131526864
Extremadura;2024-01-01;34931;1420;5721;975;2276;4967;18738;6358;0;40455;1,15814033380092
Galicia;2024-01-01;73751;6027;9743;25509;8901;7091;14899;17600;133;89903;1,21900719990237
Comunidad de Madrid;2024-01-01;176438;5262;71295;51188;17689;24424;26811;45614;83;242366;1,37366100273184
Región de Murcia;2024-01-01;40749;3955;8994;3173;4101;5147;1396;24196;3;50965;1,25070553878623
Comunidad Foral de Navarra;2024-01-01;16216;2024;3278;1083;713;2536;2846;9821;36;22337;1,37746669955599
País Vasco;2024-01-01;67502;953;24035;5772;7550;13080;1429;34655;6943;94417;1,39872892655032
La Rioja;2024-01-01;9150;1098;3606;3736;1350;1978;917;1216;0;13901;1,51923497267760
Ceuta y Melilla;2024-01-01;3415;614;739;1190;67;199;3;1765;0;4577;1,34026354319180
