ccaa;fecha;pendientes_pia_total
Ceuta y Melilla;2025-10-01;355
Andalucía;2025-11-01;13579
Aragón;2025-11-01;76
Principado de Asturias;2025-11-01;383
Islas Baleares;2025-11-01;3748
Canarias;2025-11-01;3371
Cantabria;2025-11-01;457
Castilla y León;2025-11-01;174
Castilla-La Mancha;2025-11-01;2860
Cataluña;2025-11-01;39380
Comunidad Valenciana;2025-11-01;8331
Extremadura;2025-11-01;4751
Galicia;2025-11-01;428
Comunidad de Madrid;2025-11-01;11617
Región de Murcia;2025-11-01;7940
Comunidad Foral de Navarra;2025-11-01;348
País Vasco;2025-11-01;13457
La Rioja;2025-11-01;1137
Ceuta y Melilla;2025-11-01;384
Andalucía;2025-12-01;13300
Aragón;2025-12-01;53
Principado de Asturias;2025-12-01;379
Islas Baleares;2025-12-01;3846
Canarias;2025-12-01;2427
Cantabria;2025-12-01;425
Castilla y León;2025-12-01;151
Castilla-La Mancha;2025-12-01;1924
Cataluña;2025-12-01;38335
Comunidad Valenciana;2025-12-01;8677
Extremadura;2025-12-01;4838
Galicia;2025-12-01;594
Comunidad de Madrid;2025-12-01;10056
Región de Murcia;2025-12-01;7279
Comunidad Foral de Navarra;2025-12-01;609
País Vasco;2025-12-01;13234
La Rioja;2025-12-01;809
Ceuta y Melilla;2025-12-01;391
Andalucía;2026-01-01;13240
Aragón;2026-01-01;71
Principado de Asturias;2026-01-01;370
Islas Baleares;2026-01-01;3741
Canarias;2026-01-01;2151
Cantabria;2026-01-01;287
Castilla y León;2026-01-01;156
Castilla-La Mancha;2026-01-01;2484
Cataluña;2026-01-01;39487
Comunidad Valenciana;2026-01-01;8763
Extremadura;2026-01-01;5222
Galicia;2026-01-01;600
Comunidad de Madrid;2026-01-01;14927
Región de Murcia;2026-01-01;7225
Comunidad Foral de Navarra;2026-01-01;595
País Vasco;2026-01-01;13190
La Rioja;2026-01-01;902
Ceuta y Melilla;2026-01-01;421
Andalucía;2026-02-01;17340
Aragón;2026-02-01;80
Principado de Asturias;2026-02-01;372
Islas Baleares;2026-02-01;3872
Canarias;2026-02-01;1327
Cantabria;2026-02-01;189
Castilla y León;2026-02-01;163
Castilla-La Mancha;2026-02-01;2753
Cataluña;2026-02-01;39617
Comunidad Valenciana;2026-02-01;8320
Extremadura;2026-02-01;5722
