ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
La Rioja;2024-06-01;56,57;149,56;198,64
Castilla y León;2024-06-01;NA;NA;NA
Andalucía;2024-07-01;358,31;240,70;593,78
Aragón;2024-07-01;155,94;53,15;210,21
Principado de Asturias;2024-07-01;262,77;82,05;319,42
Islas Baleares;2024-07-01;120,48;126,92;247,53
Canarias;2024-07-01;391,42;177,19;585,08
Cantabria;2024-07-01;151,23;66,43;210,08
Castilla y León;2024-07-01;119,06;0,12;127,04
Castilla-La Mancha;2024-07-01;128,75;67,23;195,11
Cataluña;2024-07-01;177,36;96,49;268,42
Comunidad Valenciana;2024-07-01;221,57;101,35;317,88
Extremadura;2024-07-01;129,54;157,62;293,31
Galicia;2024-07-01;285,16;103,08;384,89
Comunidad de Madrid;2024-07-01;177,90;58,86;291,68
Región de Murcia;2024-07-01;297,68;248,19;513,53
Comunidad Foral de Navarra;2024-07-01;122,04;83,05;197,66
País Vasco;2024-07-01;72,85;53,23;131,89
La Rioja;2024-07-01;56,48;148,56;198,01
Castilla y León;2024-07-01;NA;NA;NA
Andalucía;2024-08-01;378,19;251,59;603,14
Aragón;2024-08-01;152,73;52,93;208,00
Principado de Asturias;2024-08-01;268,19;78,56;325,99
Islas Baleares;2024-08-01;119,41;129,53;250,37
Canarias;2024-08-01;390,07;173,45;579,82
Cantabria;2024-08-01;154,80;65,66;213,04
Castilla y León;2024-08-01;118,88;0,13;126,86
Castilla-La Mancha;2024-08-01;128,06;66,72;194,63
Cataluña;2024-08-01;177,05;84,54;258,13
Comunidad Valenciana;2024-08-01;223,64;100,40;315,67
Extremadura;2024-08-01;129,31;156,00;289,90
Galicia;2024-08-01;280,80;107,59;385,71
Comunidad de Madrid;2024-08-01;179,05;59,16;292,40
Región de Murcia;2024-08-01;300,39;247,05;513,26
Comunidad Foral de Navarra;2024-08-01;125,14;80,95;198,68
País Vasco;2024-08-01;71,41;53,45;131,18
La Rioja;2024-08-01;56,22;147,95;197,95
Castilla y León;2024-08-01;NA;NA;NA
Andalucía;2024-09-01;378,92;255,19;609,29
Aragón;2024-09-01;147,95;50,85;202,07
Principado de Asturias;2024-09-01;279,83;71,69;333,00
Islas Baleares;2024-09-01;119,79;129,25;248,97
Canarias;2024-09-01;390,10;173,21;575,56
Cantabria;2024-09-01;157,45;63,66;214,12
Castilla y León;2024-09-01;118,12;0,12;126,37
Castilla-La Mancha;2024-09-01;126,63;67,25;195,10
Cataluña;2024-09-01;177,23;87,64;262,42
Comunidad Valenciana;2024-09-01;228,12;98,24;315,82
Extremadura;2024-09-01;129,71;155,48;287,67
Galicia;2024-09-01;272,33;113,31;387,20
Comunidad de Madrid;2024-09-01;182,01;61,02;294,20
Región de Murcia;2024-09-01;305,55;244,80;512,93
