ccaa;fecha;hombre;mujer
Cataluña;2025-08-01;56228;105271
Comunidad Valenciana;2025-08-01;35886;96179
Extremadura;2025-08-01;1428;6027
Galicia;2025-08-01;6084;24957
Comunidad de Madrid;2025-08-01;15235;43719
Región de Murcia;2025-08-01;8770;21956
Comunidad Foral de Navarra;2025-08-01;3084;7689
País Vasco;2025-08-01;13684;26867
La Rioja;2025-08-01;342;879
Andalucía;2025-09-01;17282;75468
Aragón;2025-09-01;7806;17978
Principado de Asturias;2025-09-01;3490;9888
Islas Baleares;2025-09-01;7886;18888
Canarias;2025-09-01;6876;19545
Cantabria;2025-09-01;2746;7008
Castilla y León;2025-09-01;9912;29123
Castilla-La Mancha;2025-09-01;5773;17830
Cataluña;2025-09-01;56712;106024
Comunidad Valenciana;2025-09-01;36046;96454
Extremadura;2025-09-01;1423;6015
Galicia;2025-09-01;6541;25956
Comunidad de Madrid;2025-09-01;15391;44053
Región de Murcia;2025-09-01;8777;22005
Comunidad Foral de Navarra;2025-09-01;3078;7684
País Vasco;2025-09-01;13893;27141
La Rioja;2025-09-01;344;878
Andalucía;2025-10-01;17559;76476
Aragón;2025-10-01;7853;18175
Principado de Asturias;2025-10-01;3478;9827
Islas Baleares;2025-10-01;7835;18736
Canarias;2025-10-01;7087;20212
Cantabria;2025-10-01;2749;7036
Castilla y León;2025-10-01;10044;29439
Castilla-La Mancha;2025-10-01;5928;18066
Cataluña;2025-10-01;57158;106954
Comunidad Valenciana;2025-10-01;36540;97447
Extremadura;2025-10-01;1451;6102
Galicia;2025-10-01;6984;27094
Comunidad de Madrid;2025-10-01;15618;44522
Región de Murcia;2025-10-01;8855;22239
Comunidad Foral de Navarra;2025-10-01;3103;7734
País Vasco;2025-10-01;14021;27467
La Rioja;2025-10-01;341;869
Andalucía;2025-11-01;17980;77960
Aragón;2025-11-01;7937;18434
Principado de Asturias;2025-11-01;3493;9802
Islas Baleares;2025-11-01;7922;18955
Canarias;2025-11-01;7280;20843
Cantabria;2025-11-01;2777;7084
Castilla y León;2025-11-01;10155;29668
Castilla-La Mancha;2025-11-01;6122;18445
Cataluña;2025-11-01;57926;108499
Comunidad Valenciana;2025-11-01;37252;98812
Extremadura;2025-11-01;1458;6150
Galicia;2025-11-01;7435;28188
Comunidad de Madrid;2025-11-01;15894;45015
Región de Murcia;2025-11-01;8917;22370
Comunidad Foral de Navarra;2025-11-01;3130;7812
País Vasco;2025-11-01;14023;27444
La Rioja;2025-11-01;346;877
Andalucía;2025-12-01;18294;78887
Aragón;2025-12-01;8000;18656
Principado de Asturias;2025-12-01;3508;9815
Islas Baleares;2025-12-01;8048;19196
Canarias;2025-12-01;7417;21324
Cantabria;2025-12-01;2751;7041
Castilla y León;2025-12-01;10061;29423
Castilla-La Mancha;2025-12-01;6384;19035
Cataluña;2025-12-01;58718;110202
Comunidad Valenciana;2025-12-01;37388;99082
Extremadura;2025-12-01;1473;6195
Galicia;2025-12-01;7877;29264
Comunidad de Madrid;2025-12-01;16051;45348
Región de Murcia;2025-12-01;9226;23171
Comunidad Foral de Navarra;2025-12-01;3108;7699
País Vasco;2025-12-01;14037;27488
La Rioja;2025-12-01;348;879
Andalucía;2026-01-01;18500;79539
Aragón;2026-01-01;8031;18709
Principado de Asturias;2026-01-01;3503;9822
Islas Baleares;2026-01-01;8131;19329
Canarias;2026-01-01;7631;21943
Cantabria;2026-01-01;2743;7027
Castilla y León;2026-01-01;10052;29319
Castilla-La Mancha;2026-01-01;6420;19046
Cataluña;2026-01-01;59185;111096
Comunidad Valenciana;2026-01-01;37450;99043
Extremadura;2026-01-01;1461;6159
Galicia;2026-01-01;7826;29053
Comunidad de Madrid;2026-01-01;15939;45046
Región de Murcia;2026-01-01;9155;23043
Comunidad Foral de Navarra;2026-01-01;3040;7579
País Vasco;2026-01-01;13855;27233
La Rioja;2026-01-01;347;880
Andalucía;2026-02-01;18673;79970
Aragón;2026-02-01;7978;18704
Principado de Asturias;2026-02-01;3550;9866
Islas Baleares;2026-02-01;8189;19467
Canarias;2026-02-01;7884;22550
Cantabria;2026-02-01;2713;6943
Castilla y León;2026-02-01;10072;29309
Castilla-La Mancha;2026-02-01;6532;19111
Cataluña;2026-02-01;59672;111927
Comunidad Valenciana;2026-02-01;37868;99579
Extremadura;2026-02-01;1433;6085
Galicia;2026-02-01;8021;29391
Comunidad de Madrid;2026-02-01;16388;46055
Región de Murcia;2026-02-01;9148;23069
Comunidad Foral de Navarra;2026-02-01;3058;7636
País Vasco;2026-02-01;13780;27154
La Rioja;2026-02-01;350;889
Andalucía;2026-03-01;18917;80665
Aragón;2026-03-01;8099;18856
Principado de Asturias;2026-03-01;3596;9893
Islas Baleares;2026-03-01;8304;19635
Canarias;2026-03-01;8050;23137
Cantabria;2026-03-01;2715;7008
Castilla y León;2026-03-01;10119;29393
Castilla-La Mancha;2026-03-01;6665;19388
Cataluña;2026-03-01;60359;113280
Comunidad Valenciana;2026-03-01;38167;100083
Extremadura;2026-03-01;1476;6255
Galicia;2026-03-01;8422;30322
Comunidad de Madrid;2026-03-01;16623;46623
Región de Murcia;2026-03-01;9260;23357
Comunidad Foral de Navarra;2026-03-01;3051;7611
País Vasco;2026-03-01;13755;27193
La Rioja;2026-03-01;349;893
