ccaa;solicitudes;fecha
Comunidad Foral de Navarra;21482;2024-09-01
País Vasco;116519;2024-09-01
La Rioja;14863;2024-09-01
Ceuta y Melilla;5557;2024-09-01
Andalucía;412895;2024-10-01
Aragón;57535;2024-10-01
Principado de Asturias;50749;2024-10-01
Islas Baleares;46046;2024-10-01
Canarias;74817;2024-10-01
Cantabria;24593;2024-10-01
Castilla y León;160404;2024-10-01
Castilla-La Mancha;99393;2024-10-01
Cataluña;378335;2024-10-01
Comunidad Valenciana;215210;2024-10-01
Extremadura;59181;2024-10-01
Galicia;84886;2024-10-01
Comunidad de Madrid;256574;2024-10-01
Región de Murcia;66926;2024-10-01
Comunidad Foral de Navarra;21325;2024-10-01
País Vasco;117049;2024-10-01
La Rioja;14815;2024-10-01
Ceuta y Melilla;5588;2024-10-01
Andalucía;421232;2024-11-01
Aragón;57826;2024-11-01
Principado de Asturias;51212;2024-11-01
Islas Baleares;46224;2024-11-01
Canarias;75587;2024-11-01
Cantabria;23597;2024-11-01
Castilla y León;160569;2024-11-01
Castilla-La Mancha;99090;2024-11-01
Cataluña;380731;2024-11-01
Comunidad Valenciana;216542;2024-11-01
Extremadura;59493;2024-11-01
Galicia;85172;2024-11-01
Comunidad de Madrid;257624;2024-11-01
Región de Murcia;67041;2024-11-01
Comunidad Foral de Navarra;21196;2024-11-01
País Vasco;117632;2024-11-01
La Rioja;14780;2024-11-01
Ceuta y Melilla;5608;2024-11-01
Andalucía;423377;2024-12-01
Aragón;57909;2024-12-01
Principado de Asturias;51282;2024-12-01
Islas Baleares;46233;2024-12-01
Canarias;75761;2024-12-01
Cantabria;23556;2024-12-01
Castilla y León;160725;2024-12-01
Castilla-La Mancha;98880;2024-12-01
Cataluña;382242;2024-12-01
Comunidad Valenciana;218328;2024-12-01
Extremadura;59450;2024-12-01
Galicia;85251;2024-12-01
Comunidad de Madrid;256424;2024-12-01
Región de Murcia;66811;2024-12-01
Comunidad Foral de Navarra;21514;2024-12-01
País Vasco;117575;2024-12-01
La Rioja;14722;2024-12-01
Ceuta y Melilla;5608;2024-12-01
Andalucía;424865;2025-01-01
Aragón;57851;2025-01-01
Principado de Asturias;51635;2025-01-01
Islas Baleares;46118;2025-01-01
Canarias;75170;2025-01-01
Cantabria;23612;2025-01-01
Castilla y León;160337;2025-01-01
