ccaa;fecha;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva
Comunidad Foral de Navarra;2024-07-01;16254;16254;0
País Vasco;2024-07-01;69516;69516;0
La Rioja;2024-07-01;9265;9265;0
Ceuta y Melilla;2024-07-01;3640;3524;116
Andalucía;2024-08-01;288363;287771;592
Aragón;2024-08-01;42703;42085;618
Principado de Asturias;2024-08-01;31501;30690;811
Islas Baleares;2024-08-01;30856;30856;0
Canarias;2024-08-01;43050;35658;7392
Cantabria;2024-08-01;17880;17879;1
Castilla y León;2024-08-01;125164;115715;9449
Castilla-La Mancha;2024-08-01;74540;72673;1867
Cataluña;2024-08-01;219746;219746;0
Comunidad Valenciana;2024-08-01;158505;156687;1818
Extremadura;2024-08-01;36248;35994;254
Galicia;2024-08-01;75850;74442;1408
Comunidad de Madrid;2024-08-01;185247;185247;0
Región de Murcia;2024-08-01;43612;43384;228
Comunidad Foral de Navarra;2024-08-01;16218;16218;0
País Vasco;2024-08-01;69548;69548;0
La Rioja;2024-08-01;9275;9275;0
Ceuta y Melilla;2024-08-01;3640;3529;111
Andalucía;2024-09-01;287571;286986;585
Aragón;2024-09-01;43736;43124;612
Principado de Asturias;2024-09-01;31553;30720;833
Islas Baleares;2024-09-01;31513;31513;0
Canarias;2024-09-01;43406;36012;7394
Cantabria;2024-09-01;17895;17894;1
Castilla y León;2024-09-01;125162;115718;9444
Castilla-La Mancha;2024-09-01;74900;72963;1937
Cataluña;2024-09-01;221659;221659;0
Comunidad Valenciana;2024-09-01;158666;156892;1774
Extremadura;2024-09-01;36487;36246;241
Galicia;2024-09-01;76008;74577;1431
Comunidad de Madrid;2024-09-01;185649;185649;0
Región de Murcia;2024-09-01;44052;43841;211
Comunidad Foral de Navarra;2024-09-01;16119;16119;0
País Vasco;2024-09-01;69758;69758;0
La Rioja;2024-09-01;9296;9296;0
Ceuta y Melilla;2024-09-01;3641;3547;94
Andalucía;2024-10-01;288014;287425;589
Aragón;2024-10-01;44256;43570;686
Principado de Asturias;2024-10-01;32110;31221;889
Islas Baleares;2024-10-01;31705;31705;0
Canarias;2024-10-01;43828;36816;7012
Cantabria;2024-10-01;18009;18008;1
Castilla y León;2024-10-01;125451;116550;8901
Castilla-La Mancha;2024-10-01;75728;73802;1926
Cataluña;2024-10-01;225116;225116;0
Comunidad Valenciana;2024-10-01;160563;158807;1756
Extremadura;2024-10-01;36744;36517;227
Galicia;2024-10-01;76563;75124;1439
Comunidad de Madrid;2024-10-01;187923;187923;0
Región de Murcia;2024-10-01;44249;44152;97
Comunidad Foral de Navarra;2024-10-01;16169;16169;0
País Vasco;2024-10-01;70157;70157;0
La Rioja;2024-10-01;9352;9352;0
Ceuta y Melilla;2024-10-01;3664;3575;89
Andalucía;2024-11-01;291702;288258;3444
Aragón;2024-11-01;44856;44131;725
Principado de Asturias;2024-11-01;32810;31954;856
Islas Baleares;2024-11-01;31849;31849;0
Canarias;2024-11-01;44273;36707;7566
Cantabria;2024-11-01;18285;18284;1
Castilla y León;2024-11-01;125746;118113;7633
Castilla-La Mancha;2024-11-01;76774;74831;1943
Cataluña;2024-11-01;227099;227099;0
Comunidad Valenciana;2024-11-01;163267;161299;1968
Extremadura;2024-11-01;37195;36952;243
Galicia;2024-11-01;77075;75633;1442
Comunidad de Madrid;2024-11-01;189638;189638;0
Región de Murcia;2024-11-01;44420;44332;88
Comunidad Foral de Navarra;2024-11-01;16137;16137;0
País Vasco;2024-11-01;70589;70589;0
La Rioja;2024-11-01;9320;9320;0
Ceuta y Melilla;2024-11-01;3690;3607;83
Andalucía;2024-12-01;296663;295106;1557
Aragón;2024-12-01;45264;44525;739
Principado de Asturias;2024-12-01;33127;32184;943
Islas Baleares;2024-12-01;31849;31849;0
Canarias;2024-12-01;45025;37332;7693
Cantabria;2024-12-01;18175;18174;1
Castilla y León;2024-12-01;126194;118814;7380
Castilla-La Mancha;2024-12-01;78035;76227;1808
Cataluña;2024-12-01;229333;229333;0
Comunidad Valenciana;2024-12-01;164565;162398;2167
Extremadura;2024-12-01;37168;36927;241
Galicia;2024-12-01;77196;75732;1464
Comunidad de Madrid;2024-12-01;190951;190951;0
Región de Murcia;2024-12-01;44630;44589;41
Comunidad Foral de Navarra;2024-12-01;16475;16475;0
País Vasco;2024-12-01;70761;70761;0
La Rioja;2024-12-01;9334;9334;0
Ceuta y Melilla;2024-12-01;3679;3600;79
Andalucía;2025-01-01;297499;295955;1544
Aragón;2025-01-01;45476;44753;723
Principado de Asturias;2025-01-01;33572;32493;1079
Islas Baleares;2025-01-01;31871;31871;0
Canarias;2025-01-01;45615;37717;7898
Cantabria;2025-01-01;18175;18174;1
Castilla y León;2025-01-01;126076;118809;7267
Castilla-La Mancha;2025-01-01;77526;75702;1824
Cataluña;2025-01-01;231314;231314;0
Comunidad Valenciana;2025-01-01;164582;162389;2193
Extremadura;2025-01-01;36678;36445;233
Galicia;2025-01-01;77734;76262;1472
Comunidad de Madrid;2025-01-01;190266;190266;0
Región de Murcia;2025-01-01;44845;44793;52
Comunidad Foral de Navarra;2025-01-01;16322;16322;0
País Vasco;2025-01-01;70900;70900;0
La Rioja;2025-01-01;9344;9344;0
Ceuta y Melilla;2025-01-01;3693;3615;78
Andalucía;2025-02-01;298289;296235;2054
Aragón;2025-02-01;45544;44815;729
Principado de Asturias;2025-02-01;33872;32801;1071
Islas Baleares;2025-02-01;31979;31979;0
Canarias;2025-02-01;45948;38059;7889
Cantabria;2025-02-01;17860;17859;1
Castilla y León;2025-02-01;126099;118645;7454
Castilla-La Mancha;2025-02-01;77301;75520;1781
Cataluña;2025-02-01;231545;231545;0
Comunidad Valenciana;2025-02-01;166087;164025;2062
Extremadura;2025-02-01;36179;35938;241
Galicia;2025-02-01;77397;75944;1453
Comunidad de Madrid;2025-02-01;190553;190553;0
Región de Murcia;2025-02-01;45098;44977;121
Comunidad Foral de Navarra;2025-02-01;16028;16028;0
País Vasco;2025-02-01;70641;70641;0
La Rioja;2025-02-01;9368;9368;0
Ceuta y Melilla;2025-02-01;3702;3635;67
Andalucía;2025-03-01;299148;295891;3257
Aragón;2025-03-01;45732;45055;677
Principado de Asturias;2025-03-01;34418;33309;1109
Islas Baleares;2025-03-01;31794;31794;0
Canarias;2025-03-01;46130;38528;7602
Cantabria;2025-03-01;18114;18113;1
Castilla y León;2025-03-01;126450;119122;7328
Castilla-La Mancha;2025-03-01;77506;75732;1774
Cataluña;2025-03-01;232521;232521;0
Comunidad Valenciana;2025-03-01;167279;165214;2065
Extremadura;2025-03-01;36400;36151;249
Galicia;2025-03-01;78066;76417;1649
Comunidad de Madrid;2025-03-01;194321;194321;0
Región de Murcia;2025-03-01;45626;45390;236
Comunidad Foral de Navarra;2025-03-01;15929;15929;0
País Vasco;2025-03-01;70696;70696;0
La Rioja;2025-03-01;9318;9318;0
Ceuta y Melilla;2025-03-01;3725;3661;64
Andalucía;2025-04-01;299894;296006;3888
Aragón;2025-04-01;46129;45458;671
Principado de Asturias;2025-04-01;34812;33743;1069
Islas Baleares;2025-04-01;31451;31451;0
Canarias;2025-04-01;46446;38624;7822
Cantabria;2025-04-01;18099;18098;1
Castilla y León;2025-04-01;126713;119965;6748
Castilla-La Mancha;2025-04-01;77705;75935;1770
Cataluña;2025-04-01;234486;234486;0
Comunidad Valenciana;2025-04-01;168460;166318;2142
Extremadura;2025-04-01;36564;36301;263
Galicia;2025-04-01;79688;78847;841
Comunidad de Madrid;2025-04-01;196209;196209;0
Región de Murcia;2025-04-01;46181;45924;257
Comunidad Foral de Navarra;2025-04-01;15950;15950;0
País Vasco;2025-04-01;72088;72088;0
La Rioja;2025-04-01;9298;9298;0
Ceuta y Melilla;2025-04-01;3726;3667;59
Andalucía;2025-05-01;301429;295681;5748
Aragón;2025-05-01;46529;45842;687
Principado de Asturias;2025-05-01;34939;33924;1015
Islas Baleares;2025-05-01;31159;31159;0
Canarias;2025-05-01;46750;38799;7951
Cantabria;2025-05-01;18068;18067;1
Castilla y León;2025-05-01;126965;120524;6441
Castilla-La Mancha;2025-05-01;78096;76353;1743
Cataluña;2025-05-01;236273;236273;0
Comunidad Valenciana;2025-05-01;168563;166653;1910
Extremadura;2025-05-01;36837;36580;257
Galicia;2025-05-01;81675;80821;854
Comunidad de Madrid;2025-05-01;196986;196986;0
Región de Murcia;2025-05-01;46549;46430;119
Comunidad Foral de Navarra;2025-05-01;17258;17258;0
País Vasco;2025-05-01;72428;72428;0
La Rioja;2025-05-01;9323;9323;0
Ceuta y Melilla;2025-05-01;3733;3679;54
Andalucía;2025-06-01;302871;296753;6118
Aragón;2025-06-01;47035;46415;620
Principado de Asturias;2025-06-01;35107;34081;1026
Islas Baleares;2025-06-01;32958;32958;0
Canarias;2025-06-01;48365;39839;8526
Cantabria;2025-06-01;18033;18032;1
Castilla y León;2025-06-01;127036;120886;6150
Castilla-La Mancha;2025-06-01;78705;77000;1705
Cataluña;2025-06-01;238250;238250;0
Comunidad Valenciana;2025-06-01;167654;166023;1631
Extremadura;2025-06-01;36975;36725;250
Galicia;2025-06-01;84054;83282;772
Comunidad de Madrid;2025-06-01;198437;198437;0
Región de Murcia;2025-06-01;47031;46883;148
Comunidad Foral de Navarra;2025-06-01;17314;17314;0
País Vasco;2025-06-01;72902;72902;0
La Rioja;2025-06-01;9317;9317;0
Ceuta y Melilla;2025-06-01;3794;3746;48
Andalucía;2025-07-01;304357;296849;7508
Aragón;2025-07-01;47370;46765;605
Principado de Asturias;2025-07-01;34990;34140;850
Islas Baleares;2025-07-01;33221;33221;0
Canarias;2025-07-01;50901;41371;9530
Cantabria;2025-07-01;18124;18123;1
Castilla y León;2025-07-01;127052;121154;5898
Castilla-La Mancha;2025-07-01;79065;77492;1573
Cataluña;2025-07-01;240890;240890;0
Comunidad Valenciana;2025-07-01;174236;171976;2260
Extremadura;2025-07-01;37298;37055;243
Galicia;2025-07-01;85337;84630;707
Comunidad de Madrid;2025-07-01;200291;200291;0
Región de Murcia;2025-07-01;47469;47213;256
Comunidad Foral de Navarra;2025-07-01;17278;17278;0
País Vasco;2025-07-01;73018;73018;0
La Rioja;2025-07-01;9299;9299;0
Ceuta y Melilla;2025-07-01;3815;3769;46
Andalucía;2025-08-01;305669;298306;7363
Aragón;2025-08-01;47607;47010;597
Principado de Asturias;2025-08-01;34630;33784;846
Islas Baleares;2025-08-01;33401;33401;0
Canarias;2025-08-01;54256;42565;11691
Cantabria;2025-08-01;18123;18122;1
Castilla y León;2025-08-01;127434;121724;5710
Castilla-La Mancha;2025-08-01;79522;77957;1565
Cataluña;2025-08-01;241584;241584;0
Comunidad Valenciana;2025-08-01;174851;172315;2536
Extremadura;2025-08-01;37508;37270;238
Galicia;2025-08-01;86858;86135;723
Comunidad de Madrid;2025-08-01;202367;202367;0
Región de Murcia;2025-08-01;47962;47525;437
Comunidad Foral de Navarra;2025-08-01;17306;17306;0
País Vasco;2025-08-01;72880;72880;0
La Rioja;2025-08-01;9314;9314;0
Ceuta y Melilla;2025-08-01;3873;3784;89
Andalucía;2025-09-01;311672;303244;8428
Aragón;2025-09-01;47941;47346;595
Principado de Asturias;2025-09-01;34288;33389;899
Islas Baleares;2025-09-01;33653;33653;0
Canarias;2025-09-01;57996;44255;13741
Cantabria;2025-09-01;18185;18184;1
Castilla y León;2025-09-01;127461;121885;5576
Castilla-La Mancha;2025-09-01;79634;78049;1585
Cataluña;2025-09-01;242430;242430;0
Comunidad Valenciana;2025-09-01;174972;172538;2434
Extremadura;2025-09-01;37473;37248;225
Galicia;2025-09-01;88362;87645;717
Comunidad de Madrid;2025-09-01;203981;203981;0
Región de Murcia;2025-09-01;48020;47725;295
Comunidad Foral de Navarra;2025-09-01;17318;17318;0
País Vasco;2025-09-01;73687;73687;0
La Rioja;2025-09-01;9321;9321;0
Ceuta y Melilla;2025-09-01;3872;3784;88
Andalucía;2025-10-01;321670;310799;10871
Aragón;2025-10-01;48456;47835;621
Principado de Asturias;2025-10-01;34063;33169;894
Islas Baleares;2025-10-01;33805;33805;0
