ccaa_id3,anio,capitulo,codigo,denominacion,importe_eur,capa,fuente_path
lar,2022,5,05,Fondo de contingencia,1222710.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,6,06,Inversiones reales,124733270.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,7,07,Transferencias de capital,137027250.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,8,08,Activos financieros,12531390.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,9,09,Pasivos financieros,346453940.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
mad,2022,1,01,Gastos de personal,8268733940.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,2,02,Gastos corrientes en bienes y servicios,5203614380.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,3,03,Gastos financieros,699006880.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,4,04,Transferencias corrientes,6719754480.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,5,05,Fondo de contingencia,114219560.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,6,06,Inversiones reales,914775180.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,7,07,Transferencias de capital,532225530.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,8,08,Activos financieros,592843430.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mad,2022,9,09,Pasivos financieros,2953999090.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mad.xlsx
mur,2022,1,01,Gastos de personal,2728950820.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,2,02,Gastos corrientes en bienes y servicios,813637470.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
mur,2022,3,03,Gastos financieros,76056290.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_mur.xlsx
