"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"La Rioja","total","enf_ae",2025,4.03877084441359,3.88930471762193,4.27891429906555,TRUE
"Media Estatal","total","enf_ae",2025,3.96638095685826,3.87687410182329,4.07344495497551,TRUE
"Melilla","total","enf_ae",2025,3.68928943885876,3.50487163340892,4.26373857425131,TRUE
"País Vasco","total","enf_ae",2025,5.29167599182897,4.97236284487428,5.81473196981766,TRUE
"Principado de Asturias","total","enf_ae",2025,4.85530196696718,4.74691390007242,4.96991442245471,TRUE
"Región de Murcia","total","enf_ae",2025,3.80916374256467,3.64306345569212,3.93056747693138,TRUE
"Andalucía","total","enf_ap",2025,0.765613095502642,0.718810753313344,0.832141057998177,TRUE
"Aragón","total","enf_ap",2025,0.829707304407706,0.80200442620112,0.856117949622323,TRUE
"Canarias","total","enf_ap",2025,1.03288852776812,0.824111889378983,1.33339802312895,TRUE
"Cantabria","total","enf_ap",2025,0.670541863176124,0.658892279893355,0.707520611610156,TRUE
"Castilla y León","total","enf_ap",2025,0.883674866425588,0.865208154575775,0.895413024131292,TRUE
"Castilla-La Mancha","total","enf_ap",2025,0.825964908601893,0.795621769931455,0.849469623924139,TRUE
"Cataluña","total","enf_ap",2025,0.78201137188686,0.769886711169282,0.825620013518278,TRUE
"Ceuta","total","enf_ap",2025,0.557668413609778,0.543751186977781,0.581107894101626,TRUE
"Comunidad Foral de Navarra","total","enf_ap",2025,0.89374705153596,0.853934779729748,0.938528928626985,TRUE
"Comunidad Valenciana","total","enf_ap",2025,0.8198944396443,0.713736841022913,0.865098036793152,TRUE
"Comunidad de Madrid","total","enf_ap",2025,0.505595244612909,0.502402951755293,0.512160480380571,TRUE
"Extremadura","total","enf_ap",2025,0.862552984821927,0.852412705306245,0.873676951815031,TRUE
"Galicia","total","enf_ap",2025,0.795976582299199,0.766146602977657,0.818127870268009,TRUE
"Islas Baleares","total","enf_ap",2025,0.726699001268294,0.678757071434328,0.8107348147341,TRUE
"La Rioja","total","enf_ap",2025,0.855435389225978,0.790714521656065,0.988500563707646,TRUE
"Media Estatal","total","enf_ap",2025,0.777461841872814,0.749130301295348,0.811455079893829,TRUE
"Melilla","total","enf_ap",2025,0.677873384173903,0.641610160150493,0.698851194704336,TRUE
"País Vasco","total","enf_ap",2025,0.745274948596488,0.702784246309745,0.84189333439262,TRUE
