ccaa;ccaa_cod;periodo;origen;tasa_paro;tasa_actividad;tasa_empleo;horas_servicios;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;brecha_salarial;pct_alquiler_salario;brecha_salarial_origen;pct_alquiler_salario_origen
Comunidad Foral de Navarra;15;2021;real;10.712;58.172;51.942;116.75;22.382;45.85;24.05;15.625;21.597;29.99;real;real
Comunidad Foral de Navarra;15;2022;real;9.735;58.722;53.002;119.725;22.628;44.575;21.3;14.275;18.544;30.42;real;real
Comunidad Foral de Navarra;15;2023;real;9.945;58.788;52.94;120.975;25.458;36.85;18.275;14.05;20.684;29.57;real;real
Comunidad Foral de Navarra;15;2024;real;7.64;59.262;54.735;120.15;22.898;31.2;16.45;12.875;20.38;29.86;real;real
Comunidad Foral de Navarra;15;2025;real;7.69;58.948;54.412;119.425;20.795;38.325;17.45;12.675;19.869;30.096;proyeccion;proyeccion
Comunidad Foral de Navarra;15;2026;proyeccion;7.376;59.0;54.225;119.031;22.681;31.253;19.156;12.625;19.869;30.333;proyeccion;proyeccion
Comunidad de Madrid;13;2010;real;15.842;66.078;55.61;133.5;37.115;39.0;18.8;11.525;21.695;40.67;real;real
Comunidad de Madrid;13;2011;real;16.337;65.238;54.58;132.6;40.855;45.15;19.25;11.7;21.841;40.86;real;real
Comunidad de Madrid;13;2012;real;18.53;65.325;53.22;133.45;48.055;50.925;17.425;12.425;21.552;38.85;real;real
Comunidad de Madrid;13;2013;real;19.762;64.463;51.72;132.8;48.81;57.95;16.4;13.7;21.438;36.29;real;real
Comunidad de Madrid;13;2014;real;18.748;63.86;51.892;131.625;48.99;61.8;16.0;13.75;21.549;36.02;real;real
Comunidad de Madrid;13;2015;real;17.058;64.575;53.558;131.35;44.162;62.925;17.025;13.8;19.936;37.79;real;real
Comunidad de Madrid;13;2016;real;15.712;63.65;53.645;131.125;40.518;58.65;18.35;13.1;19.717;40.54;real;real
Comunidad de Madrid;13;2017;real;13.342;62.87;54.482;130.475;34.69;53.1;18.95;12.875;19.662;43.52;real;real
Comunidad de Madrid;13;2018;real;12.22;62.895;55.207;130.3;27.458;50.975;19.8;13.125;19.755;48.23;real;real
Comunidad de Madrid;13;2019;real;10.622;62.835;56.158;130.7;29.09;44.95;19.525;13.175;18.529;48.87;real;real
Comunidad de Madrid;13;2020;real;12.497;62.14;54.372;120.825;31.782;36.275;18.75;12.85;17.765;48.05;real;real
Comunidad de Madrid;13;2021;real;11.688;63.328;55.925;128.275;29.478;44.475;19.35;13.35;17.495;44.04;real;real
Comunidad de Madrid;13;2022;real;11.215;63.302;56.2;129.975;27.768;48.6;15.925;12.825;17.559;43.43;real;real
Comunidad de Madrid;13;2023;real;9.955;63.245;56.952;130.0;27.348;43.075;12.525;12.1;16.552;46.15;real;real
Comunidad de Madrid;13;2024;real;8.975;63.148;57.48;129.85;20.318;38.025;11.8;12.575;17.5;49.94;real;real
Comunidad de Madrid;13;2025;real;7.968;63.272;58.23;130.25;19.335;35.325;11.425;14.25;17.204;49.94;proyeccion;proyeccion
Comunidad de Madrid;13;2026;proyeccion;7.273;63.232;58.407;130.106;19.92;37.46;11.4;14.08;17.204;49.94;proyeccion;proyeccion
Comunitat Valenciana;10;2010;real;22.858;60.122;46.38;128.575;42.29;46.425;27.75;16.375;23.809;28.28;real;real
Comunitat Valenciana;10;2011;real;23.985;59.742;45.412;126.475;51.398;51.775;26.775;16.375;25.316;25.85;real;real
Comunitat Valenciana;10;2012;real;27.19;59.618;43.41;126.5;52.888;54.925;26.5;17.65;26.425;25.42;real;real
Comunitat Valenciana;10;2013;real;28.05;59.65;42.92;125.775;56.285;59.7;26.775;19.0;24.24;24.37;real;real
Comunitat Valenciana;10;2014;real;25.812;58.98;43.75;123.7;56.567;63.525;26.825;19.125;25.418;24.09;real;real
Comunitat Valenciana;10;2015;real;22.78;59.1;45.635;122.9;48.4;62.275;27.45;18.95;25.535;24.17;real;real
Comunitat Valenciana;10;2016;real;20.615;59.372;47.138;123.475;45.605;59.575;27.425;19.05;22.485;25.67;real;real
Comunitat Valenciana;10;2017;real;18.178;59.102;48.365;124.15;41.75;51.75;29.525;18.625;22.39;27.32;real;real
Comunitat Valenciana;10;2018;real;15.59;58.545;49.418;122.7;34.34;48.9;28.775;15.95;21.605;29.12;real;real
Comunitat Valenciana;10;2019;real;14.112;58.212;49.998;123.525;31.17;44.0;27.9;15.975;21.163;31.27;real;real
Comunitat Valenciana;10;2020;real;16.19;57.17;47.918;113.675;36.552;39.375;25.175;16.125;20.101;31.92;real;real
Comunitat Valenciana;10;2021;real;16.085;57.772;48.485;121.025;37.402;48.725;26.925;15.575;20.237;31.03;real;real
Comunitat Valenciana;10;2022;real;13.29;58.705;50.905;124.375;28.505;47.3;22.525;15.325;17.046;32.63;real;real
Comunitat Valenciana;10;2023;real;12.802;59.198;51.62;122.975;28.56;38.8;18.1;15.525;16.925;35.99;real;real
Comunitat Valenciana;10;2024;real;12.628;58.882;51.45;123.5;25.73;39.075;17.25;16.0;17.537;39.27;real;real
Comunitat Valenciana;10;2025;real;11.572;58.705;51.915;123.925;30.532;37.325;16.375;15.325;17.537;42.55;proyeccion;proyeccion
Comunitat Valenciana;10;2026;proyeccion;11.418;58.925;52.607;122.95;28.306;34.388;15.535;15.174;17.537;45.83;proyeccion;proyeccion
